UF;Código;Território;Famílias Beneficiárias-2004;Famílias Beneficiárias-2005;Famílias Beneficiárias-2006;Famílias Beneficiárias-2007;Famílias Beneficiárias-2008;Famílias Beneficiárias-2009;Famílias Beneficiárias-2010;Famílias Beneficiárias-2011;Famílias Beneficiárias-2012;Famílias Beneficiárias-2013;Famílias Beneficiárias-2014;Famílias Beneficiárias-2015;Famílias Beneficiárias-2016;Famílias Beneficiárias-2017;Famílias Beneficiárias-2018;Famílias Beneficiárias-2019
GO;520005;ABADIA DE GOIÁS;182;194;283;269;300;410;464;471;441;450;472;468;450;861;964;1015
MG;310010;ABADIA DOS DOURADOS;454;563;513;518;519;611;587;542;501;448;399;404;356;331;283;271
GO;520010;ABADIÂNIA;633;657;897;884;838;837;781;768;687;515;569;620;705;742;705;683
MG;310020;ABAETÉ;1260;1711;1735;1627;1285;1512;1514;1425;1406;1263;1054;971;718;613;583;551
PA;150010;ABAETETUBA;7503;10220;11876;12601;12828;15168;16919;18859;20932;20655;20863;19711;21976;29934;33933;34542
CE;230010;ABAIARA;1004;1184;1429;1362;1281;1600;1659;1736;1900;1872;1999;1885;1892;1933;1892;1849
BA;290010;ABAÍRA;925;1160;1317;1270;1231;1080;1217;1344;1378;1291;1388;1305;1327;1642;1698;1608
BA;290020;ABARÉ;1541;1623;2034;2079;1997;2449;2810;3190;3389;3344;3137;3209;3244;3815;4125;3998
PR;410010;ABATIÁ;551;690;739;719;685;678;741;706;655;572;597;465;393;364;355;338
SC;420005;ABDON BATISTA;80;98;146;177;193;165;166;184;192;178;159;158;147;131;121;134
SC;420010;ABELARDO LUZ;617;1080;1064;1163;1035;1220;1282;1425;1541;1553;1662;1538;1556;1541;1518;1427
PA;150013;ABEL FIGUEIREDO;324;473;581;594;596;644;737;964;1016;1029;1056;1020;1038;1094;1174;1186
MG;310030;ABRE CAMPO;639;1065;1251;1181;1067;1163;1259;1212;1252;1246;1321;1314;1248;1149;1101;1006
PE;260005;ABREU E LIMA;4790;4876;9388;9333;8567;12260;11583;12589;12851;12090;12543;12005;11883;14812;17832;16955
TO;170025;ABREULÂNDIA;90;93;225;265;263;337;341;367;369;331;320;330;291;267;233;228
MG;310040;ACAIACA;234;403;461;434;340;378;414;440;468;536;594;585;596;604;541;499
MA;210005;AÇAILÂNDIA;4879;5581;8527;8747;9159;12746;13121;12854;13280;13044;12935;12059;11010;10103;9217;8726
BA;290030;ACAJUTIBA;454;900;1951;1958;1926;1923;2009;2167;2278;2410;2428;2392;2399;2685;2922;2887
PA;150020;ACARÁ;1732;1772;1838;4459;5175;5396;5450;6368;6853;8595;9793;9215;9464;10395;11333;11299
CE;230015;ACARAPE;1183;1423;1808;1842;1601;1953;2065;2125;2226;2180;2009;1984;2029;1946;1915;1860
CE;230020;ACARAÚ;4443;6145;7048;7020;6841;7510;8015;9660;9890;10643;11270;10724;10581;10415;10184;10015
RN;240010;ACARI;889;1004;1293;1196;1102;1095;1223;1255;1360;1273;1349;1299;1224;1251;1252;1224
PI;220005;ACAUÃ;967;966;1105;1054;1010;1203;1246;1332;1366;1336;1399;1355;1244;1280;1310;1307
RS;430003;ACEGUÁ;73;73;194;199;171;290;314;386;377;345;309;278;227;192;176;176
CE;230030;ACOPIARA;4726;5854;7335;7557;7825;8518;8461;8358;8596;9092;8927;8661;8260;8781;9057;8902
MT;510010;ACORIZAL;365;476;573;561;532;678;721;702;722;738;684;701;653;703;744;732
AC;120001;ACRELÂNDIA;402;742;779;932;968;1068;1033;933;1510;1757;1823;1924;1789;1670;1855;1719
GO;520013;ACREÚNA;643;724;1265;1184;1074;1429;1397;1444;1585;1378;1400;1173;988;893;787;756
RN;240020;AÇU;3778;4895;5580;5261;4780;6074;5929;6076;6277;6409;5977;5921;5775;6327;6726;6676
MG;310050;AÇUCENA;1119;1325;1466;1266;1246;1207;1178;1158;1189;1169;1119;972;962;851;835;812
SP;350010;ADAMANTINA;952;1384;1607;1337;926;852;597;583;646;571;436;429;351;290;274;289
GO;520015;ADELÂNDIA;48;56;227;267;260;202;218;226;240;221;222;194;191;176;179;163
SP;350020;ADOLFO;150;146;149;148;112;150;141;121;125;133;120;133;133;176;152;142
PR;410020;ADRIANÓPOLIS;413;414;602;540;527;532;574;591;541;548;499;620;572;469;403;376
BA;290035;ADUSTINA;1744;1825;2038;2032;1970;2105;2322;2739;2979;3205;3255;3111;2910;3209;3287;3201
PE;260010;AFOGADOS DA INGAZEIRA;2835;3188;4531;4705;4550;5169;5081;5468;5851;5689;5829;5566;5232;5132;5008;4913
RN;240030;AFONSO BEZERRA;1203;1435;1551;1453;1487;1608;1627;1771;1815;1898;1955;1934;1957;2112;2034;2027
ES;320010;AFONSO CLÁUDIO;1958;2845;3313;3207;2984;3840;3803;3532;3327;2981;2667;2707;2605;2571;2473;2430
MA;210010;AFONSO CUNHA;621;642;821;814;729;828;908;1045;1101;1082;1128;1071;1116;1290;1430;1442
PE;260020;AFRÂNIO;1622;2014;2621;2704;2584;2620;2838;3074;3260;3141;3328;3184;3458;4344;4627;4529
PA;150030;AFUÁ;1312;2016;2325;2620;2768;3349;3676;4030;4561;5201;5093;5567;5897;6837;6995;6865
PE;260030;AGRESTINA;2234;2838;3117;3103;3036;3088;3589;3809;4004;3824;4065;3799;3935;4186;4344;4200
PI;220010;AGRICOLÂNDIA;529;726;854;827;821;778;768;884;939;944;964;924;971;983;941;930
SC;420020;AGROLÂNDIA;186;328;312;302;259;286;258;215;207;170;130;114;86;83;80;75
SC;420030;AGRONÔMICA;85;99;94;84;58;61;70;59;58;68;64;65;54;29;22;19
PA;150034;ÁGUA AZUL DO NORTE;444;461;1362;1400;2007;2589;2850;3307;3571;3653;3524;3190;2887;2720;2785;2671
MT;510020;ÁGUA BOA;228;587;979;747;675;856;811;775;792;850;884;991;828;693;633;548
MG;310060;ÁGUA BOA;1373;1704;1731;1614;1565;1667;1908;2070;2207;2121;2249;2103;2140;2312;2281;2222
PB;250010;ÁGUA BRANCA;1046;1244;1503;1441;1412;1323;1299;1573;1577;1649;1762;1656;1669;1698;1591;1579
PI;220020;ÁGUA BRANCA;1452;1915;2370;2168;2145;1923;1915;2203;2229;2329;2439;2372;2215;2229;2375;2340
AL;270010;ÁGUA BRANCA;1892;2063;2812;2707;2589;2801;3042;3089;3190;3114;3003;2850;2935;3054;2908;2831
MS;500020;ÁGUA CLARA;16;59;594;520;409;570;464;481;524;706;727;851;860;922;875;860
MG;310070;ÁGUA COMPRIDA;69;85;95;89;81;89;100;96;99;110;113;113;108;150;147;150
SC;420040;ÁGUA DOCE;227;318;314;293;273;259;257;300;274;190;139;87;85;66;64;56
MA;210015;ÁGUA DOCE DO MARANHÃO;1017;1081;1748;1758;1716;1808;1883;2074;2178;2192;2249;2152;2280;2452;2588;2499
ES;320016;ÁGUA DOCE DO NORTE;250;929;1786;1723;1670;1658;1755;1733;1723;1655;1729;1621;1625;1859;1797;1758
BA;290040;ÁGUA FRIA;971;1011;1886;1983;2163;2128;2271;2177;2567;2830;2704;2675;2674;2847;2808;2767
GO;520017;ÁGUA FRIA DE GOIÁS;53;53;305;410;397;453;448;488;552;552;542;500;478;509;501;494
SP;350030;AGUAÍ;922;1191;1378;1116;1046;1365;1397;1499;1644;1668;1452;1614;1511;1389;1345;1251
GO;520020;ÁGUA LIMPA;95;140;186;193;155;152;148;131;163;175;186;174;169;190;167;172
MG;310080;AGUANIL;202;275;272;252;232;256;242;243;269;269;226;295;276;275;252;226
RN;240040;ÁGUA NOVA;264;274;429;405;406;460;461;500;510;534;540;522;485;497;461;467
PE;260040;ÁGUA PRETA;2474;2952;4059;4286;4343;4711;5756;5870;6038;5692;6063;5815;5726;5258;4442;4266
RS;430005;ÁGUA SANTA;153;188;158;140;114;130;129;115;135;146;148;129;125;109;86;81
PE;260050;ÁGUAS BELAS;1552;1587;3626;5590;6266;6051;6335;7025;7302;7441;7894;7646;8060;8773;9845;9807
SP;350040;ÁGUAS DA PRATA;179;227;254;260;218;256;232;189;171;151;120;141;146;138;163;152
SC;420050;ÁGUAS DE CHAPECÓ;200;260;260;265;240;260;217;154;164;191;203;236;233;247;259;251
SP;350050;ÁGUAS DE LINDÓIA;332;487;458;406;349;451;470;387;421;414;408;372;331;296;293;302
SP;350055;ÁGUAS DE SANTA BÁRBARA;174;202;255;226;177;222;211;196;229;255;275;266;267;379;468;409
SP;350060;ÁGUAS DE SÃO PEDRO;13;12;14;13;12;24;31;29;36;42;34;38;45;37;48;37
MG;310090;ÁGUAS FORMOSAS;1373;1693;1965;2169;2035;2061;2278;2495;2485;2662;2730;2768;2685;2758;2763;2715
SC;420055;ÁGUAS FRIAS;84;104;98;86;82;112;88;68;60;48;32;36;28;33;31;34
GO;520025;ÁGUAS LINDAS DE GOIÁS;2784;3329;4237;5079;4946;9801;11511;12210;13111;14152;15886;14260;15140;19426;20214;19535
SC;420060;ÁGUAS MORNAS;132;159;145;131;117;82;76;70;73;66;61;55;52;33;22;21
