UF;Código;Território;Valor Total Repassado-2004;Valor Total Repassado-2005;Valor Total Repassado-2006;Valor Total Repassado-2007;Valor Total Repassado-2008;Valor Total Repassado-2009;Valor Total Repassado-2010;Valor Total Repassado-2011;Valor Total Repassado-2012;Valor Total Repassado-2013;Valor Total Repassado-2014;Valor Total Repassado-2015;Valor Total Repassado-2016;Valor Total Repassado-2017;Valor Total Repassado-2018;Valor Total Repassado-2019
GO;520005;ABADIA DE GOIÁS;84844;116714;134127.00;154206;189478.00;255127.00;375366.00;515353.00;603556;734560;858513;918741;940801.00;1395162;1754951;1150486.00
MG;310010;ABADIA DOS DOURADOS;175967;316439;313365.00;287170;358632.00;452660.00;523033.00;618621.00;652164;603600;586490;581034;553294.00;529377;496804;276600.00
GO;520010;ABADIÂNIA;408591;461520;539585.00;576546;698168.00;699459.00;721020.00;906991.00;1016738;822522;849957;987692;1038388.00;1105011;1104805;686362.00
MG;310020;ABAETÉ;373919;813719;846530.00;846975;874956.00;1004078.00;1131824.00;1452046.00;1739638;1678998;1630369;1504779;1179450.00;943431;920655;534048.00
PA;150010;ABAETETUBA;6513626;7786402;10110773.00;11970055;14721109.00;17224576.00;22021159.00;25672491.00;35983848;53166078;57052617;56285957;59962769.00;68704209;77703639;49256196.00
CE;230010;ABAIARA;753247;886645;1102299.00;1240912;1378754.00;1600969.00;1877111.00;2230358.00;3014748;4201846;4544365;4605179;4551725.00;4685547;4982979;3015228.00
BA;290010;ABAÍRA;674927;820292;1003064.00;1082172;1216746.00;1188804.00;1347610.00;1533751.00;1905824;2438454;2740261;2876492;3108604.00;3317236;3763338;2219643.00
BA;290020;ABARÉ;1019007;1372739;1639087.00;1960403;2266165.00;2657323.00;3526164.00;4212464.00;5408714;6201874;6426389;6386148;6873369.00;7499012;9073326;5530110.00
PR;410010;ABATIÁ;229316;457966;469309.00;562182;658707.00;725723.00;852814.00;957080.00;968596;961264;992615;930859;756369.00;591180;609778;347486.00
SC;420005;ABDON BATISTA;22354;67326;102040.00;130342;175954.00;186418.00;187083.00;209421.00;273788;282998;270953;277647;275655.00;261485;260551;177379.00
SC;420010;ABELARDO LUZ;283993;646330;844624.00;967486;1040890.00;1200523.00;1490942.00;1913869.00;2369842;2724806;2991661;3067532;3140240.00;3170676;3195660;1869112.00
PA;150013;ABEL FIGUEIREDO;282840;321092;453363.00;536668;628806.00;732719.00;923074.00;1151061.00;1575708;1734898;2274017;2426345;2716467.00;2917187;3184760;1970778.00
MG;310030;ABRE CAMPO;312626;597025;915989.00;1037683;1136857.00;1114874.00;1338964.00;1526219.00;1725948;1890302;2223693;2362229;2429975.00;2390931;2449661;1303592.00
PE;260005;ABREU E LIMA;3208921;3945695;4728922.00;7897010;9094460.00;11061262.00;13443447.00;16568573.00;18815940;21545884;21417318;21404350;21974566.00;24206676;29044063;18349656.00
TO;170025;ABREULÂNDIA;47241;63757;118245.00;166790;230740.00;305088.00;391289.00;480356.00;566798;577378;596624;624083;653794.00;568996;524102;301792.00
MG;310040;ACAIACA;61558;217823;310987.00;357277;378058.00;376420.00;425941.00;529900.00;687598;1011554;1314526;1339582;1432131.00;1431092;1361042;754063.00
MA;210005;AÇAILÂNDIA;2713518;4377598;5714676.00;6969251;8575738.00;12206180.00;15255944.00;18114754.00;20786350;21470810;22396579;21971093;19771761.00;18070395;17641876;9579474.00
BA;290030;ACAJUTIBA;364995;527051;1507108.00;1933209;2214840.00;2336174.00;2626098.00;2979425.00;3552620;3901208;4333722;4247676;4273313.00;4539703;5166853;3170484.00
PA;150020;ACARÁ;1402633;1469978;1494194.00;3665715;5410752.00;6583796.00;7267207.00;9380132.00;11987028;16936980;21939933;24163893;24939596.00;25205752;26403853;16179369.00
CE;230015;ACARAPE;878095;1075671;1178369.00;1499873;1722055.00;2014634.00;2295560.00;2825427.00;3535410;4407116;4706055;4619780;4949189.00;5283923;5329371;3148608.00
CE;230020;ACARAÚ;3660032;4132617;5423582.00;6233969;7329328.00;8161682.00;10142311.00;12515789.00;16078470;20770000;25427702;27223086;27516929.00;28743338;29548252;17407909.00
RN;240010;ACARI;557560;678385;744111.00;869296;985704.00;1104870.00;1308021.00;1548600.00;1871756;2066010;2253357;2273720;2376072.00;2586220;2819187;1588364.00
