"cod_mun";"n_bpc_cadunico";"comdireito_a_bpc";"desv_pad_n_bpc_cadunico";"desv_pad_bpc";"Município";"idosos";"Total";"prop_idosos_cadunico";"direito_bpc_prop_idosos";"ano"
"320010";0;43,2041493159395;0;15,2749595083258;"Afonso Cláudio";2993;32601;0,0144350649234679;0,0144350649234679;2012
"320013";0;21,6042068541318;0;13,2298061723247;"Águia Branca";787;10034;0,0274513428896211;0,0274513428896211;2012
"320016";0;10,8021034270659;0;7,63823552667135;"Água Doce do Norte";1135;12235;0,00951727174190828;0,00951727174190828;2012
"320020";0;5,40105171353295;0;5,40105171361573;"Alegre";3234;32299;0,00167008401779003;0,00167008401779003;2012
"320030";0;16,2031551405988;0;9,35488359353682;"Alfredo Chaves";1429;14800;0,0113388069563323;0,0113388069563323;2012
"320035";0;27,0052585676648;0;14,2898153217703;"Alto Rio Novo";584;7794;0,046241881109015;0,046241881109015;2012
"320040";0;48,6094654217965;0;19,4737014469258;"Anchieta";1839;26162;0,0264325532473064;0,0264325532473064;2012
"320050";0;37,8073619947306;0;14,2897828810813;"Apiacá";840;7911;0,0450087642794412;0,0450087642794412;2012
"320060";0;313,260999384911;0;43,8780650874202;"Aracruz";4703;89767;0,0666087602349375;0,0666087602349375;2012
"320070";0;37,8073619947306;0;16,2031074573607;"Atilio Vivacqua";834;10698;0,0453325683390056;0,0453325683390056;2012
"320080";0;59,4115688488625;0;17,9131433956768;"Baixo Guandu";2925;30950;0,0203116474696966;0,0203116474696966;2012
"320090";0;297,034700966383;0;42,8659157532465;"Barra de São Francisco";3550;43514;0,0836717467510937;0,0836717467510937;2012
"320100";0;54,0105171353295;0;17,0795233933556;"Boa Esperança";1141;15092;0,0473361236944167;0,0473361236944167;2012
"320110";0;21,6042068541318;0;13,2298061723247;"Bom Jesus do Norte";986;10053;0,0219109602983081;0,0219109602983081;2012
"320115";0;27,0052585676648;0;12,0770867945861;"Brejetuba";584;12624;0,046241881109015;0,046241881109015;2012
"320120";0;340,271875930105;0;46,147046194364;"Cachoeiro de Itapemirim";15127;203422;0,0224943396529454;0,0224943396529454;2012
"320130";0;1069,39225606997;0;83,3203399654996;"Cariacica";21840;372981;0,0489648468896505;0,0489648468896505;2012
"320140";NA;NA;NA;NA;"Castelo";3447;37075;NA;NA;2012
"320150";0;189,040344256194;0;35,4175995466914;"Colatina";9432;119666;0,0200424453197831;0,0200424453197831;2012
"320160";0;70,2136722759283;0;19,4737383660571;"Conceição da Barra";1865;30418;0,0376480816492913;0,0376480816492913;2012
"320170";0;27,0052585676648;0;12,0770867945861;"Conceição do Castelo";1031;12484;0,0261932672819251;0,0261932672819251;2012
"320180";0;5,40105171353295;0;5,40105171361573;"Divino de São Lourenço";311;4709;0,017366725766987;0,017366725766987;2012
"320190";0;21,6042068541318;0;10,8020819697722;"Domingos Martins";2681;33876;0,00805826439915397;0,00805826439915397;2012
"320200";NA;NA;NA;NA;"Dores do Rio Preto";487;6795;NA;NA;2012
"320210";0;156,647613885433;0;31,9564480449047;"Ecoporanga";2118;24356;0,0739601576418474;0,0739601576418474;2012
"320220";NA;NA;NA;NA;"Fundão";1525;18762;NA;NA;2012
"320225";NA;NA;NA;NA;"Governador Lindenberg";936;11783;NA;NA;2012
"320230";0;43,2084137082636;0;18,7097382812811;"Guaçuí";2649;29866;0,0163112169529119;0,0163112169529119;2012
"320240";0;151,225365751193;0;31,4923318491509;"Guarapari";8129;114468;0,018603194212227;0,018603194212227;2012
"320245";0;43,2084137082636;0;15,2764103623823;"Ibatiba";1727;24232;0,0250193478333895;0,0250193478333895;2012
"320250";0;21,6042068541318;0;10,8020819697722;"Ibiraçu";943;12005;0,0229100814996095;0,0229100814996095;2012
"320255";0;16,2031551405988;0;9,35488359353682;"Ibitirama";610;9407;0,0265625494108178;0,0265625494108178;2012
"320260";0;5,40105171353295;0;5,40105171361573;"Iconha";1120;13425;0,0048223676013687;0,0048223676013687;2012
"320265";NA;NA;NA;NA;"Irupi";865;12645;NA;NA;2012
"320270";0;27,0052585676648;0;14,2898153217703;"Itaguaçu";1665;14851;0,016219374515114;0,016219374515114;2012
"320280";0;253,849430536049;0;37,0275224911972;"Itapemirim";2340;33278;0,108482662622243;0,108482662622243;2012
"320290";0;10,8021034270659;0;7,63823552667135;"Itarana";1220;11381;0,00885418313693926;0,00885418313693926;2012
