"cod_mun";"n_pbf_cadunico";"ben_pbf";"desv_pad_n_pbf";"desv_pad_pbf";"Município";"pop0a6";"prop_pinf_cadunico";"pbf_pop0a6";"ano"
"320010";0;2905,47904149693;0;156,514875088817;"Afonso Cláudio";4890;0,594167493148657;0,594167493148657;2012
"320013";0;583,313585061559;0;69,1639987353639;"Águia Branca";1535;0,38000885020297;0,38000885020297;2012
"320016";0;577,912533348026;0;69,3746237798122;"Água Doce do Norte";1901;0,304004488873238;0,304004488873238;2012
"320020";0;1031,60087728479;0;89,5585016778921;"Alegre";4365;0,236334679790331;0,236334679790331;2012
"320030";0;345,667309666109;0;57,6661180191306;"Alfredo Chaves";1978;0,17475597050865;0,17475597050865;2012
"320035";0;329,46415452551;0;56,9023853580678;"Alto Rio Novo";1246;0,264417459490778;0,264417459490778;2012
"320040";0;529,303067926229;0;67,0225657360365;"Anchieta";3944;0,134204631827137;0,134204631827137;2012
"320050";0;302,458895957845;0;48,3072532128932;"Apiacá";1111;0,272240230385099;0,272240230385099;2012
"320060";0;5892,54741946445;0;224,302330894528;"Aracruz";14936;0,394519779021455;0,394519779021455;2012
"320070";0;237,64627539545;0;44,537403282034;"Atilio Vivacqua";1578;0,150599667550982;0,150599667550982;2012
"320080";0;923,579843014134;0;83,8401894679504;"Baixo Guandu";4452;0,207452794926805;0,207452794926805;2012
"320090";0;3337,58991267681;0;166,449902953864;"Barra de São Francisco";6704;0,497850523967304;0,497850523967304;2012
"320100";0;680,532515905152;0;79,3751139587216;"Boa Esperança";2415;0,281794002445197;0,281794002445197;2012
"320110";0;302,458895957845;0;48,9073972877408;"Bom Jesus do Norte";1381;0,21901440692096;0,21901440692096;2012
"320115";0;383,474671660839;0;56,3869459179728;"Brejetuba";2251;0,170357472972385;0,170357472972385;2012
"320120";0;7874,86341438242;0;258,547437622932;"Cachoeiro de Itapemirim";29293;0,268830895243998;0,268830895243998;2012
"320130";0;18082,4508753649;0;400,73139347339;"Cariacica";60547;0,298651475306207;0,298651475306207;2012
"320140";0;550,907274780361;0;66,1461096374434;"Castelo";4696;0,117314155617624;0,117314155617624;2012
"320150";0;6427,37170471059;0;230,017487010779;"Colatina";15532;0,413814814879641;0,413814814879641;2012
"320160";0;2570,90061564168;0;152,185211264199;"Conceição da Barra";5435;0,473026792206382;0,473026792206382;2012
"320170";0;372,672568233774;0;56,3870418332474;"Conceição do Castelo";1838;0,202759830377461;0,202759830377461;2012
"320180";0;232,245223681917;0;43,5438796754316;"Divino de São Lourenço";754;0,308017538039678;0,308017538039678;2012
"320190";0;610,318843629223;0;67,2389280837388;"Domingos Martins";4757;0,128299105240535;0,128299105240535;2012
"320200";0;205,239965114252;0;41,8357276914445;"Dores do Rio Preto";1069;0,191992483736438;0,191992483736438;2012
"320210";0;2430,73883615327;0;144,128445157071;"Ecoporanga";3681;0,660347415417894;0,660347415417894;2012
"320220";0;32,4135654202546;0;15,2798658634692;"Fundão";2905;0,0111578538451823;0,0111578538451823;2012
"320225";0;318,662051098444;0;53,738570428734;"Governador Lindenberg";1815;0,175571378015672;0,175571378015672;2012
"320230";0;1009,99667043066;0;88,9049944591127;"Guaçuí";4479;0,225496019296866;0,225496019296866;2012
"320240";0;3958,86403912944;0;188,866515975785;"Guarapari";17444;0,226947032740738;0,226947032740738;2012
"320245";0;837,163015597607;0;75,8013017453915;"Ibatiba";3948;0,212047369705574;0,212047369705574;2012
"320250";0;253,849430536049;0;50,3768430090704;"Ibiraçu";1692;0,150029214264804;0,150029214264804;2012
"320255";0;637,324102196888;0;75,6112171502958;"Ibitirama";1696;0,375780720634958;0,375780720634958;2012
"320260";0;124,224189411258;0;27,0048980795223;"Iconha";1609;0,0772058355570279;0,0772058355570279;2012
"320265";0;756,147239894613;0;77,1375918435798;"Irupi";2042;0,370297375070819;0,370297375070819;2012
"320270";0;394,276775087905;0;54,8128466242415;"Itaguaçu";1807;0,218194120137192;0,218194120137192;2012
"320280";0;3748,32988919187;0;186,932144664019;"Itapemirim";5568;0,673191431248539;0,673191431248539;2012
"320290";0;259,250482249582;0;43,2074123495541;"Itarana";1287;0,201437826145751;0,201437826145751;2012
"320300";0;615,719895342756;0;66,5849118463927;"Iúna";4738;0,12995354481696;0,12995354481696;2012
"320305";0;804,75670531641;0;83,1430318099255;"Jaguaré";4867;0,165349641527925;0,165349641527925;2012
"320310";0;448,287292223235;0;60,864615735987;"Jerônimo Monteiro";1576;0,284446251410682;0,284446251410682;2012
"320313";0;216,042068541318;0;38,1904189916587;"João Neiva";2137;0,101095960945867;0,101095960945867;2012
"320316";0;259,250482249582;0;38,9464209270427;"Laranja da Terra";1335;0,194195117789949;0,194195117789949;2012
"320320";0;10818,4815472659;0;310,551524877812;"Linhares";26319;0,411052150433752;0,411052150433752;2012
"320330";0;685,933567618685;0;72,2568834603109;"Mantenópolis";2268;0,30243984462905;0,30243984462905;2012
"320332";0;750,74618818108;0;76,5683006144635;"Marataízes";5750;0,130564554466275;0,130564554466275;2012
"320334";0;426,683085369103;0;61,8159532342268;"Marechal Floriano";2345;0,181954407406867;0,181954407406867;2012
"320335";0;372,672568233774;0;53,7381103526419;"Marilândia";1464;0,254557765187004;0,254557765187004;2012
"320340";0;2112,06677554694;0;129,298389608685;"Mimoso do Sul";3833;0,551021856391061;0,551021856391061;2012
"320350";0;1879,82056836506;0;127,82592751057;"Montanha";2931;0,641358092243283;0,641358092243283;2012
"320360";0;302,458895957845;0;50,6651941565403;"Mucurici";850;0,355833995244524;0,355833995244524;2012
"320370";0;815,558808743475;0;77,7019859028151;"Muniz Freire";2916;0,279684090789944;0,279684090789944;2012
"320380";0;399,677826801438;0;56,1275286065968;"Muqui";2076;0,192523037958304;0,192523037958304;2012
"320390";0;3191,78073140214;0;152,649086200439;"Nova Venécia";7302;0,437110480882243;0,437110480882243;2012
"320400";0;826,360912170541;0;79,9226620203714;"Pancas";3559;0,232189073383125;0,232189073383125;2012
"320405";0;1009,99667043066;0;90,5307241853278;"Pedro Canário";4607;0,219230881361116;0,219230881361116;2012
"320410";0;2408,56699853979;0;145,103168341946;"Pinheiros";4398;0,547650522632968;0,547650522632968;2012
"320420";0;205,239965114252;0;41,8357276914445;"Piúma";2944;0,069714662063265;0,069714662063265;2012
"320425";0;367,271516520241;0;53,4660490265879;"Ponto Belo";1142;0,321603779790053;0,321603779790053;2012
"320430";0;372,672568233774;0;56,9020323291772;"Presidente Kennedy";1612;0,231186456720703;0,231186456720703;2012
"320435";0;588,714636775092;0;67,6716377109197;"Rio Bananal";2761;0,213225149139838;0,213225149139838;2012
"320440";0;129,625241124791;0;33,2940066954369;"Rio Novo do Sul";1560;0,0830931032851223;0,0830931032851223;2012
"320450";0;270,052585676647;0;45,1874020026432;"Santa Leopoldina";1753;0,154051674658669;0,154051674658669;2012
"320455";0;464,490447363834;0;64,8104592835632;"Santa Maria de Jetibá";5624;0,0825907623335408;0,0825907623335408;2012
"320460";0;545,506223066828;0;70,2109124652092;"Santa Teresa";2941;0,185483244837412;0,185483244837412;2012
"320465";0;210,641016827785;0;39,319528853475;"São Domingos do Norte";1278;0,164820826938799;0,164820826938799;2012
"320470";0;604,91779191569;0;68,7406861289425;"São Gabriel da Palha";4973;0,121640416632956;0,121640416632956;2012
"320480";0;340,266257952576;0;52,6415188511871;"São José do Calçado";1516;0,224450038227293;0,224450038227293;2012
"320490";0;7918,21849411914;0;257,194288003775;"São Mateus";19407;0,40800837296435;0,40800837296435;2012
"320495";0;210,641016827785;0;42,868862029344;"São Roque do Canaã";1620;0,130025319029497;0,130025319029497;2012
"320500";0;18487,8000154233;0;397,920072173862;"Serra";75487;0,24491369395291;0,24491369395291;2012
"320501";0;950,585101581799;0;92,6023458268157;"Sooretama";5277;0,180137407917718;0,180137407917718;2012
"320503";0;334,865206239043;0;48,9071176693379;"Vargem Alta";3303;0,101382139339704;0,101382139339704;2012
"320506";0;534,704119639762;0;61,8148408418794;"Venda Nova do Imigrante";3062;0,174625773886271;0,174625773886271;2012
"320510";0;3964,22403350908;0;187,079988351763;"Viana";11230;0,35300303058852;0,35300303058852;2012
"320515";0;378,073619947306;0;52,9175296078646;"Vila Pavão";1307;0,289268263157847;0,289268263157847;2012
"320517";0;378,073619947306;0;52,3633664245615;"Vila Valério";2151;0,175766443490147;0,175766443490147;2012
"320520";0;11995,8558449517;0;333,284202514774;"Vila Velha";62733;0,191220822293716;0,191220822293716;2012
"320530";0;10294,4045659938;0;299,115468632106;"Vitória";46055;0,223524146476904;0,223524146476904;2012
"320010";0;3013,19302077692;0;154,26076711435;"Afonso Cláudio";4001;0,753109977699804;0,753109977699804;2013
"320013";0;301,350662077691;0;48,13008848267;"Águia Branca";1179;0,255598525935277;0,255598525935277;2013
"320016";0;408,97589853401;0;57,4540109754931;"Água Doce do Norte";1531;0,26712991413064;0,26712991413064;2013
"320020";0;914,814509878706;0;84,3944121057522;"Alegre";3431;0,266632034356953;0,266632034356953;2013
"320030";0;247,538043849532;0;40,9813772411359;"Alfredo Chaves";1600;0,154711277405958;0,154711277405958;2013
"320035";0;274,444352963612;0;47,8285548499037;"Alto Rio Novo";1004;0,273350949166944;0,273350949166944;2013
"320040";0;543,507444104408;0;68,2773608748047;"Anchieta";3231;0,16821647914095;0,16821647914095;2013
"320050";0;306,731923900507;0;52,4487448642573;"Apiacá";951;0,322536197582027;0,322536197582027;2013
"320060";0;5435,35320104408;0;210,621146201624;"Aracruz";12469;0,435909311175241;0,435909311175241;2013
"320070";0;252,919305672348;0;47,8287330453259;"Atilio Vivacqua";1247;0,202822217860744;0,202822217860744;2013
"320080";0;2351,87186857056;0;134,971525468624;"Baixo Guandu";3593;0,654570517275412;0,654570517275412;2013
"320090";0;3293,56969156334;0;166,214807366141;"Barra de São Francisco";5644;0,583552390425823;0,583552390425823;2013
"320100";0;392,832113065562;0;56,6931102316041;"Boa Esperança";1878;0,209175779055145;0,209175779055145;2013
"320110";0;145,29406921603;0;32,7324781360405;"Bom Jesus do Norte";1135;0,128012395785048;0,128012395785048;2013
"320115";0;575,795015041303;0;72,7929957486044;"Brejetuba";1783;0,322936071251432;0,322936071251432;2013
"320120";0;8819,99466259529;0;274,203373782186;"Cachoeiro de Itapemirim";23838;0,36999725910711;0,36999725910711;2013
"320130";0;19663,1928185694;0;417,764555471898;"Cariacica";49827;0,394629273658245;0,394629273658245;2013
"320140";0;478,932302230617;0;62,9833677771468;"Castelo";3723;0,128641499390442;0,128641499390442;2013
"320150";0;6129,45426318733;0;225,037721755205;"Colatina";12604;0,486310239859357;0,486310239859357;2013
"320160";0;2819,77019115554;0;159,264357695904;"Conceição da Barra";4515;0,624533818639101;0,624533818639101;2013
"320170";0;403,594636711194;0;58,7005967148973;"Conceição do Castelo";1444;0,279497670852627;0,279497670852627;2013
"320180";0;123,769021924766;0;33,6056522960588;"Divino de São Lourenço";606;0,204239310106875;0,204239310106875;2013
"320190";0;688,801513320438;0;71,3855691342152;"Domingos Martins";3753;0,183533576690764;0,183533576690764;2013
"320200";0;161,437854684478;0;33,1717607519893;"Dores do Rio Preto";844;0,191277079010045;0,191277079010045;2013
"320210";0;2233,08919646861;0;134,734193904098;"Ecoporanga";2872;0,777538021054529;0,777538021054529;2013
"320220";0;10,7613176456318;0;10,7613176455206;"Fundão";2401;0,0044820148461607;0,0044820148461607;2013
"320225";0;339,019494837403;0;54,0794569413948;"Governador Lindenberg";1522;0,222746054426677;0,222746054426677;2013
"320230";0;887,908200764627;0;86,596442883062;"Guaçuí";3575;0,248365930283812;0,248365930283812;2013
"320240";0;3024,45741442255;0;156,892353592912;"Guarapari";14191;0,213125038011595;0,213125038011595;2013
"320245";0;715,707822434517;0;75,1401700664778;"Ibatiba";3231;0,221512789363825;0,221512789363825;2013
"320250";0;209,869211089821;0;44,0468086715633;"Ibiraçu";1333;0,157441268634524;0,157441268634524;2013
"320255";0;532,744920458776;0;64,7957332304223;"Ibitirama";1372;0,388298046981615;0,388298046981615;2013
"320260";0;161,437854684478;0;34,0335386929818;"Iconha";1337;0,120746338582257;0,120746338582257;2013
"320265";0;489,694825876249;0;57,7045273087652;"Irupi";1618;0,302654404126235;0,302654404126235;2013
"320270";0;258,300567495164;0;43,0489632773895;"Itaguaçu";1438;0,179624873084259;0,179624873084259;2013
"320280";0;2755,31203728175;0;155,032898343605;"Itapemirim";4485;0,614339361712765;0,614339361712765;2013
"320290";0;182,962901975741;0;34,0333751482105;"Itarana";940;0,194641385080576;0,194641385080576;2013
"320300";0;769,520440662676;0;71,9902547895892;"Iúna";3889;0,197871031283794;0,197871031283794;2013
"320305";0;812,570535245204;0;77,4165301123586;"Jaguaré";4207;0,193147262953459;0,193147262953459;2013
"320310";0;365,925803951483;0;55,9219575582963;"Jerônimo Monteiro";1288;0,284103885055499;0,284103885055499;2013
"320313";0;247,538043849532;0;43,7165581776308;"João Neiva";1774;0,139536665078654;0,139536665078654;2013
"320316";0;188,344163798557;0;34,4561409037904;"Laranja da Terra";1069;0,176187243964974;0,176187243964974;2013
"320320";0;7566,02459687918;0;247,393006764448;"Linhares";21711;0,348488075025525;0,348488075025525;2013
"320330";0;575,795015041303;0;66,1223375024265;"Mantenópolis";1876;0,306926980299202;0,306926980299202;2013
"320332";0;861,001891650547;0;83,3595354954588;"Marataízes";4698;0,183269879023105;0,183269879023105;2013
"320334";0;274,444352963612;0;52,4490134861088;"Marechal Floriano";1971;0,13924117349752;0,13924117349752;2013
"320335";0;220,631734735453;0;39,9076199404643;"Marilândia";1243;0,17749938434067;0,17749938434067;2013
"320340";0;1732,95628694673;0;114,669548174908;"Mimoso do Sul";3211;0,539693642773817;0,539693642773817;2013
"320350";0;1539,23707732535;0;117,170944395054;"Montanha";2373;0,648646050284599;0,648646050284599;2013
"320360";0;220,631734735453;0;40,6267667171782;"Mucurici";675;0,326861829237708;0,326861829237708;2013
"320370";0;591,938800509751;0;63,2113986485788;"Muniz Freire";2303;0,257029440082393;0,257029440082393;2013
"320380";0;344,400756660219;0;53,8110036923598;"Muqui";1722;0,200000439407793;0,200000439407793;2013
"320390";0;2857,33267691525;0;145,28154008758;"Nova Venécia";5907;0,483719769242467;0,483719769242467;2013
"320400";0;624,226371446647;0;71,790966329351;"Pancas";2784;0,22421924261733;0,22421924261733;2013
"320405";0;769,520440662676;0;78,5313284143404;"Pedro Canário";3657;0,21042396517984;0,21042396517984;2013
"320410";0;1727,58855912391;0;117,539420028833;"Pinheiros";3661;0,471889800361625;0,471889800361625;2013
"320420";0;145,29406921603;0;32,7324781360405;"Piúma";2430;0,059791798031288;0,059791798031288;2013
"320425";0;274,444352963612;0;49,6116800034897;"Ponto Belo";968;0,28351689355745;0,28351689355745;2013
