"";"cd_ibge";"I(f0a9 + smf60 == 2)FALSE";"I(f0a9 + smf60 == 2)TRUE";"se.I(f0a9 + smf60 == 2)FALSE";"se.I(f0a9 + smf60 == 2)TRUE"
"1100015";1100015;2014,76939711077;952,171451899227;106,024313010759;70,8152706491629
"1100023";1100023;10373,4059908775;5055,40596904529;243,02835490029;164,236381541357
"1100031";1100031;355,992592296809;256,4738388545;43,6415324687099;36,4794212563911
"1100049";1100049;9460,32058281112;3810,94942987708;231,244586595511;140,468478543641
"1100056";1100056;716,878857278484;446,190814887609;62,687956654742;49,0164130964231
"1100064";1100064;1252,6883776445;385,840811135977;86,2170730373099;44,6438233693892
"1100072";1100072;552,023057905934;379,153853321117;52,8427314864524;45,2129499269685
"1100080";1100080;850,11248078175;475,7589378545;65,9350189001171;48,9021124753522
"1100098";1100098;1067,49161149673;516,141441372551;79,6867390574769;54,6588650337513
"1100106";1100106;7192,63102317241;4450,83459711085;203,702788802169;159,289512560156
"1100114";1100114;9883,84281000433;4198,57114330717;238,604580090804;151,020013606625
"1100122";1100122;10791,9621213601;5473,27669766178;251,651831436523;174,346569120906
"1100130";1100130;2158,930062;1221,73908312418;107,217236733288;78,3767973667384
"1100148";1100148;1835,79275117771;1252,80107835106;99,7037430975642;81,6287576545436
"1100155";1100155;1862,98805656948;846,059094587809;103,468091183368;67,2718119135914
"1100189";1100189;1813,6391682998;730,719596318125;104,73831493813;63,1950062899152
"1100205";1100205;32000,9911968511;16460,6563940097;431,443892799734;303,954730425341
"1100254";1100254;1918,63111654817;876,467514957367;105,168731340914;69,3778806902736
"1100262";1100262;173,336031463625;212,598144463625;30,2396837073569;33,3459793160418
"1100288";1100288;7849,25374748966;3411,38890800874;211,712533318234;134,28105567183
"1100296";1100296;559,643675166094;235,759412227051;55,4387348156953;35,3778274734671
"1100304";1100304;10658,6506215912;5740,2738126075;252,862987428607;181,146897670627
"1100320";1100320;2209,09992531812;947,09102492725;111,055796681963;69,4795534698166
"1100338";1100338;2214,08696839087;1542,13015466056;111,747676737339;91,3310482528338
"1100346";1100346;1488,84058576325;935,977232714809;89,5194636237343;70,1693153145455
"1100379";1100379;1123,52746017263;565,677064978684;77,6817371073009;52,8179971476361
"1100403";1100403;1491,38077697868;808,496893978684;90,041255166844;64,2084686010531
"1100452";1100452;1947,19154152386;1385,66122629681;99,3998914265086;83,3535582754431
"1100502";1100502;723,56581311466;429,716504814859;62,2786804239077;47,0302526938762
"1100601";1100601;326,051001463625;237,92615192725;42,2240342584685;34,8194683787956
"1100700";1100700;561,7170468545;318,710485390875;54,7816753220555;40,0179722431145
"1100809";1100809;533,755470245375;431,883246709;52,6658202543645;46,6116753438767
"1100908";1100908;277,655094463625;145,654551;39,6991922945075;28,0488728537642
"1100924";1100924;524,995138763426;367,38649178175;53,8261300763469;43,6800731894794
"1100940";1100940;1192,73115692725;737,499915463625;79,7089531123497;63,0530477935677
"1101005";1101005;1056,02366897868;670,0894938545;74,2297396305293;59,0291791545188
"1101104";1101104;575,464422742109;379,153855051434;55,0603520471628;45,2129501211627
"1101203";1101203;913,749620472426;395,06797363625;71,5288787488978;45,1179759368133
"1101302";1101302;1478,38033063924;667,922751124184;91,338066266062;59,3602707690381
"1101401";1101401;651,448439660559;351,37900892725;57,7311642309076;43,3970333079244
"1101435";1101435;546,363126124184;254,307096463625;56,6477123521714;37,0127486189654
"1101450";1101450;516,141441463625;228,979089;54,6588650852826;35,6300942709365
"1101468";1101468;108,745911;20,807793;24,8288242557903;10,6016396952942
"1101476";1101476;400,148378784742;124,660026463625;47,1490529273412;24,6556844350008
"1101484";1101484;619,99367774211;226,252154566492;59,0166359388429;33,3069540471897
"1101492";1101492;1285,74968644231;866,400057463625;83,9327682625915;66,8709518328341
"1101500";1101500;1068,16449646363;660,768966463625;76,0209914971782;58,3837800308671
"1101559";1101559;363,239741442309;235,852777051434;45,3077183450503;35,8443154294341
"1101609";1101609;829,584789614934;489,693045030117;65,8388190095323;49,8846527587271
"1101708";1101708;1071,07816861793;736,939721318125;77,4969914739895;61,4519480585908
"1101757";1101757;457,584717833184;219,3784668545;49,0507033974098;33,076300984742
"1101807";1101807;723,939273463625;448,357553660559;63,3366453806966;48,6149384248891
"1200013";1200013;1223,57092777303;765,497991904872;82,3091401739552;64,8336351000786
"1200054";1200054;60,259152;48,6780159415876;19,4011706575849;17,5093183714394
"1200104";1200104;1847,6487022977;1185,54292630604;100,389152548233;78,7776858558167
"1200138";1200138;725,768303364141;519,847551649526;61,9661295031736;51,7386699819078
"1200179";1200179;788,753376325448;494,611143327425;66,1531440764624;51,0850203384034
"1200203";1200203;8728,4459410945;5201,43251272268;216,268637385711;164,980012247552
"1200252";1200252;857,960855561075;563,818623517682;68,5229862504753;54,1192609656149
"1200302";1200302;83,0489759415876;76,2678959415877;19,5746110111675;20,0267858470049
"1200328";1200328;413,729416;328,047632;46,7697473780773;40,955950973406
"1200336";1200336;1878,82817804027;1362,7564504575;99,1370167027414;82,917934496541
"1200344";1200344;1024,33814205737;596,581006561388;74,5721599216024;56,9559316866891
"1200351";1200351;1423,17615638511;886,295630524672;90,1186602299644;71,1029501922019
"1200385";1200385;1340,80464010848;783,115311707938;84,6623731107583;63,1624476423668
"1200393";1200393;889,699007766351;438,779600080109;68,1541808373585;46,7779525886434
"1200401";1200401;26906,8265786714;13760,3816046165;387,984817139043;270,422476879414
"1200427";1200427;1160,86519153938;589,334367926568;79,6121978893859;55,6396718916412
"1200435";1200435;334,921823824763;233,231295824763;41,1424709472696;34,029491429834
"1200450";1200450;1517,6200476562;952,963415299052;92,2364452247116;72,6710026714178
"1200500";1200500;8405,03485659472;4774,63198271551;213,984738427357;159,653005257054
"1200609";1200609;1699,65930315887;1018,23451936414;91,984931136185;70,7682582383505
"1200708";1200708;956,273679480966;526,535519320748;69,5500736253954;51,2420825130101
"1200807";1200807;1472,81096788318;887,252423766351;89,2000702312647;67,7090677173041
"1300029";1300029;744,646758638016;420,6720405062;63,9577041121927;47,2831022543252
"1300060";1300060;1268,60946600248;695,037013865254;81,3713033578275;58,7527817083792
"1300086";1300086;984,643782044735;552,204382206854;72,3192008131247;53,4672639609165
"1300144";1300144;1399,18953511896;644,755238700654;87,8360049631898;58,1718868631905
"1300300";1300300;3512,45437547473;2093,33348173736;133,842515526382;102,853568079002
"1300409";1300409;596,266455;309,386816;56,0709071593331;39,059196178427
"1300508";1300508;2074,95070087595;1278,88729995006;107,651019014604;83,8526543000686
"1300607";1300607;5363,66952257433;3523,85878061244;165,496893859406;133,7345443475
"1300631";1300631;1139,72898366832;796,16104350124;72,9523709485509;61,5390589601369
"1300680";1300680;1150,73090384487;690,703723536054;77,432850100326;59,4162059687387
"1300706";1300706;5760,88358933627;3769,58426449518;172,452497512858;137,356842277478
"1300805";1300805;1025,51166466832;658,03535233416;72,0343676871536;56,9952083981959
"1300904";1300904;1073,72020990007;768,946924064668;73,001675975181;61,8508328563185
"1301001";1301001;310,134121199414;175,9680698354;42,3251061631023;32,2699174624899
"1301100";1301100;5137,26214667229;2958,12357047158;164,765038403236;123,256446548638
"1301209";1301209;10347,2789279621;7011,80211682784;238,865529763803;196,219842922653
"1301308";1301308;390,824206;226,71691;46,3379945102751;35,713473143989
"1301407";1301407;6030,84157870679;3940,51258851185;175,80631838989;142,146004389325
"1301506";1301506;1416,61611773006;757,272978371454;86,2251139452161;61,0123015278774
"1301605";1301605;2482,15495809443;1724,60173902232;110,813289699534;91,982999247167
"1301654";1301654;2012,32209087517;1108,83546342868;101,868232844625;75,3094421443544
"1301704";1301704;6493,76607401001;4006,16957173936;183,643491070691;143,001268927535
"1301852";1301852;6062,89921496257;3626,42473265521;173,463454143986;133,258940792727
"1301902";1301902;10042,7683985703;5796,54073723693;228,925498084654;170,285269839022
"1301951";1301951;388,65756133664;247,431094032334;46,7590214498198;36,8050017310353
"1302009";1302009;462,27382;369,819056558216;49,6013296341603;44,3652882918307
"1302108";1302108;448,259815177001;265,51156700496;48,2715641648918;36,1502069284676
"1302207";1302207;1391,66205330138;887,105738570868;86,4135786370002;67,4593198313848
"1302405";1302405;8402,37906919021;5122,31889307937;209,523067650477;159,18599864145
"1302553";1302553;945,073954;616,681774;70,233049622845;55,8858313389233
"1302603";1302603;145568,679842569;80745,7001916376;905,375867282146;661,275783732355
"1302801";1302801;1175,404715;983,61623316708;76,574497878812;69,7466997094464
"1303007";1303007;1223,40829096722;788,522007603202;82,1025838463181;65,645377446349
"1303205";1303205;604,057935789406;300,244079592473;59,0873265197793;38,9383312142833
"1303304";1303304;834,56389916708;478,107643;66,998800183996;49,1794807605012
"1303403";1303403;12036,0044360831;7218,20003631888;269,774858484376;207,240988892866
"1303536";1303536;1389,92343146405;924,547642068514;87,5911773624568;70,1428388264008
"1303569";1303569;520,268566137029;198,562551674647;53,3155039747777;31,330164066317
"1303601";1303601;838,8037805062;545,237375865254;66,1605422083713;53,0115007781463
"1303809";1303809;5073,95213794581;3027,18866837444;159,044670598335;120,753932089347
"1304005";1304005;529,869576511971;226,617091116431;54,9362660097594;35,2442960003532
"1304062";1304062;7531,67623983897;4203,88627758383;198,110638883697;145,366519499657
"1304104";1304104;2835,00707049583;1510,86655312933;124,480816601321;88,05938940932
"1304203";1304203;577,667276200331;256,542092100165;55,0040050188328;36,929435751348
"1304237";1304237;2150,4477817678;1339,60542673299;104,47604231582;82,2692102254048
"1304260";1304260;162,034063;141,31988;30,7290646153023;29,4128330794905
"1304302";1304302;432,0657485062;318,894118366494;47,3186451860612;40,8393830189267
"1304401";1304401;1871,00221711684;1207,60602451364;97,5331865399928;77,3260676055975
"1400100";1400100;27542,322797973;14359,3963438461;395,88694962655;279,81043544371
"1400175";1400175;537,542321574399;468,147187574399;57,4429412453116;53,9815508378244
"1400209";1400209;1473,67911341466;747,616184920131;90,862492469409;65,7099443152239
"1400233";1400233;217,413285858133;104,0462;34,6387448953648;23,7073323920857
"1400308";1400308;4,613942;0;4,61394199985955;0
"1400472";1400472;2319,33252277972;1581,68823942012;112,306186612564;92,7702823780084
"1400605";1400605;4,61394185813308;0;4,61394185799282;0
"1500107";1500107;20866,7199163126;12582,3951286118;337,720299872226;258,811213205339
"1500206";1500206;5769,82277970405;3808,17030114171;170,2228471039;137,463314481043
"1500305";1500305;1453,27195510591;1007,357072942;86,6472825136578;72,1442973888098
"1500404";1500404;8651,86945396181;4857,38184847842;213,912066854147;155,150962889843
"1500503";1500503;3930,79914809366;2594,42472159053;144,222032906678;116,147818490842
"1500602";1500602;9179,38022928117;5548,50571779353;222,45398276016;168,930516289483
"1500800";1500800;37237,1347163142;20949,0633942105;451,236329891211;328,536805868465
"1500859";1500859;469,636236692509;333,114314094437;51,3998749005012;43,1816878304141
"1500909";1500909;5602,18012250294;3564,8760763999;168,393247878484;133,601635011995
"1500958";1500958;862,354432729737;517,566075548924;68,1899905749884;51,7942982531687
"1501006";1501006;4,613627;27,6817616925095;4,61362699998596;11,3009944735346
"1501204";1501204;3565,61880913088;2079,67819507753;136,484072515438;104,114813883932
"1501253";1501253;43,969432;25,421607;15,8759865662178;11,5620934983667
"1501303";1501303;12060,3963416033;7964,6011558542;254,870227745138;206,369473847128
"1501402";1501402;82819,3594848407;49104,07336449;673,446532797311;508,038217138107
"1501451";1501451;260,996534692509;210,246637795006;36,3157032547133;32,93509631902
"1501501";1501501;5236,52998713155;2861,43412501102;170,406885245849;123,154694987487
"1501600";1501600;362,962913282522;316,733326676389;44,1944617397932;41,3172109782768
"1501709";1501709;13788,933491231;8571,24742655379;275,092381826633;215,026364309004
"1501725";1501725;541,100795138937;348,935397864475;54,3614370429337;42,6949444934846
"1501782";1501782;6963,11460765543;4794,84433377221;186,947084732366;152,899251564626
"1501808";1501808;11464,2615569039;7243,17764007044;245,447057410476;194,598844926114
"1501907";1501907;4664,12261273309;3496,73163821996;155,488991982558;134,363715701173
"1501956";1501956;494,684575684449;295,738712795006;51,4072051379519;39,0932607312232
"1502004";1502004;420,493276;168,537361;46,5760031274575;28,752784481782
"1502103";1502103;5529,32947424008;3943,59728214525;164,008293790701;138,950179953382
"1502152";1502152;753,607589573892;436,594311487516;63,5107175049391;47,1931474474772
"1502202";1502202;8285,88916183906;4891,01564613429;213,169169489145;161,252662081746
"1502301";1502301;7253,59841866501;4829,55557934998;191,000677138823;154,106756356319
"1502400";1502400;19445,0726253507;10464,2201258091;326,165099511849;232,878218094289
"1502509";1502509;34,648861;27,6817617950063;13,2760098148412;11,3009945153783
"1502608";1502608;13,8408808975032;9,227254;7,99102572975121;6,52464955487061
"1502707";1502707;6423,02628622591;3470,88603789923;185,003018425876;132,164412213408
"1502756";1502756;899,450081318962;552,588205171965;69,9036590414498;54,6969012388896
"1502764";1502764;335,094518;184,825031;41,9406018815613;30,8391149309746
"1502772";1502772;919,604844692509;584,417009795006;69,0383955948373;54,5397155145428
"1502806";1502806;4179,51114799149;2767,57520090897;146,824084939232;119,06591864668
"1502855";1502855;473,503326659481;307,226120966972;48,9635919198547;39,5585092129245
"1502905";1502905;5192,47531647374;3539,24779234565;163,185814881872;133,440906262233
"1502939";1502939;6854,33781004534;3372,40637418614;197,955669224063;133,916408611237
"1502954";1502954;4227,04220578406;2336,43321135654;148,261118012712;108,43124928903
"1503002";1503002;53,103369;80,971765;16,1676411751321;21,3436127233581
"1503044";1503044;499,39151997582;272,670577684449;51,9346170496072;37,7077244968268
"1503077";1503077;4786,88243254086;3153,13966634393;159,397221775638;126,766421900116
"1503093";1503093;3535,28307688558;2489,15064500341;138,47985184472;114,623213978224
"1503101";1503101;859,347741966972;662,662034385019;66,2575013838615;57,1826687584174
"1503200";1503200;5049,49838855056;3295,10892573032;161,254253996999;129,785186973342
"1503309";1503309;8258,4828061305;4571,12245257478;210,061010852239;153,986185563963
"1503408";1503408;326,053898;215,140216094437;42,2243943052481;34,7228506063136
"1503457";1503457;4114,49669837877;2788,84294959016;143,348198537247;117,529392312605
"1503507";1503507;5138,40556081798;3348,15981500787;162,055009676298;131,279062597421
"1503606";1503606;13850,8059768847;8298,51692176652;277,611640358394;212,303982749313
"1503705";1503705;5675,27264327847;3872,13550442325;167,943492959036;138,870069847545
"1503754";1503754;438,761149897503;397,331823573893;46,7760298786115;45,0521577565575
"1503804";1503804;6536,11082975883;4372,22732737769;186,450785072868;149,152989747878
"1503903";1503903;5847,64968576574;3068,30549610944;177,536680415468;127,080023647575
"1504000";1504000;1097,36945947946;785,249759376959;75,0676804343162;62,8488313224011
"1504059";1504059;5942,9797181324;3846,35175010194;180,970761186456;143,727505599915
"1504109";1504109;96,8861665900126;92,4591738894431;21,1420148827763;22,1844306122283
"1504208";1504208;20713,7415327994;10864,3396910352;334,226114366291;235,284505325324
"1504307";1504307;3931,51564280648;2781,32276624949;141,434636996393;119,194401946167
"1504406";1504406;976,948571745858;641,854053958911;70,113769688624;56,191603198778
"1504422";1504422;13446,3874001888;8071,83511774375;273,374402732682;207,041440464229
"1504455";1504455;514,839336786946;228,514511897503;50,2245044285562;33,2175201940842
"1504604";1504604;4459,06206791399;2684,36143197133;157,667315135011;121,2113516782
"1504703";1504703;9969,92056178831;6683,77084836419;229,605791917216;186,718551211485
"1504802";1504802;9563,94567093842;6016,86384836301;219,94602744579;172,571425556204
"1504901";1504901;3979,89732027335;2702,10871027335;143,168753221011;118,439138287347
"1504950";1504950;818,198365720889;508,058870753918;65,8139417422085;50,4025607032661
"1504976";1504976;439,041100897503;346,208658897503;47,8295891878227;40,7763237591943
"1505007";1505007;540,354261;367,389907;51,8591590140645;43,6804660958455
"1505064";1505064;7587,11328796242;5100,59359583317;201,088513685477;163,378487428605
"1505106";1505106;6294,14957275105;3650,96734098009;182,336110883862;137,390649609208
"1505205";1505205;4003,05454693136;2655,54808426891;144,452300433958;116,431081638471
"1505304";1505304;8048,45573754232;4122,35025253064;213,957377399927;148,824038551866
"1505403";1505403;897,096608720101;492,424419360051;69,7084800451162;51,4652606136564
"1505437";1505437;256,662859;150,17617;37,3794147925475;27,8354514003253
"1505486";1505486;5226,82273852749;3430,70174867765;163,233362031012;130,269735374188
"1505494";1505494;212,600109487516;168,817311897503;33,3462771419451;30,4367449877242
"1505502";1505502;15180,4293911188;8295,704004028;290,881071573038;211,161965042419
"1505536";1505536;16421,5044395832;6408,66682037602;308,934107612975;188,600831424977
"1505551";1505551;74,0979828975032;18,454508;20,9817778230251;9,22723567073279
"1505601";1505601;427,46037335199;311,933065171965;47,0941266170468;40,241541901295
"1505635";1505635;474,063229077528;295,738712786946;50,9585963945418;39,0932607359574
"1505650";1505650;609,46534734393;369,183474847566;54,5465538850973;41,6640178980829
"1505700";1505700;720,658981061408;390,178090479456;60,4326588317124;43,7574588805977
"1505809";1505809;5171,66936056387;3590,16496903567;165,690882616491;136,940440634318
"1506005";1506005;4066,01625603318;3015,83010517414;149,977515604496;128,970631375708
"1506104";1506104;340,174729266402;184,731713376959;44,1182129393322;30,2956553225715
"1506112";1506112;436,687628652209;293,198606385019;47,5438469282685;37,8758686251548
"1506138";1506138;7896,96582520348;4080,04340405526;212,406518556571;149,551336475703
"1506161";1506161;233,408089897503;159,403423795006;34,9908444129102;28,5898536965836
"1506187";1506187;4949,10590147391;2748,07365506823;162,535689513535;120,53822572013
"1506195";1506195;828,845919662892;491,771199232585;63,7889850492229;49,1538773694235
"1506203";1506203;4431,17011855565;2715,41048363226;154,471048809352;120,037538476284
"1506302";1506302;1109,51008721804;579,990016282522;76,8393987005667;54,9522560488888
"1506351";1506351;41,5953677898583;25,4087368949292;14,985929394198;11,5564340733399
"1506401";1506401;87,6589125900126;64,5907777950063;20,1100940758489;17,2624628955958
"1506500";1506500;8942,34494461658;4446,87196476565;223,646096480674;152,4382738526
"1506559";1506559;968,654488487516;628,386441581953;72,1500803679125;56,8028120590987
