"";"municipio";"matr_creche";"matr_creche_mref";"matr_presc";"matr_4e5_ref";"pop_mun_0a4";"pop_adic_3_a_4";"pop_0a3";"pop_total_4_a_6";"pop_adic_0_a_6"
"1";"Afonso Cláudio - ES";"572";"545";"733";"659";"2225";"376";"1849";"822";"2306"
"2";"Águia Branca - ES";"149";"169";"250";"224";"653";"126";"527";"206";"689"
"3";"Água Doce do Norte - ES";"90";"83";"316";"280";"836";"151";"685";"317";"945"
"4";"Alegre - ES";"787";"707";"633";"558";"1773";"411";"1362";"763";"2285"
"5";"Alfredo Chaves - ES";"252";"236";"336";"314";"951";"122";"829";"277";"783"
"6";"Alto Rio Novo - ES";"140";"133";"233";"205";"491";"102";"389";"179";"573"
"7";"Anchieta - ES";"1113";"1040";"791";"720";"1817";"451";"1366";"795";"2407"
"8";"Apiacá - ES";"99";"106";"166";"158";"508";"97";"411";"139";"454"
"9";"Aracruz - ES";"1676";"2247";"3555";"2764";"7275";"1512";"5763";"2793";"8525"
"10";"Atílio Vivacqua - ES";"307";"296";"340";"305";"640";"162";"478";"293";"897"
"11";"Baixo Guandu - ES";"701";"661";"759";"671";"1985";"391";"1594";"748";"2323"
"12";"Barra de São Francisco - ES";"635";"591";"1089";"996";"3245";"640";"2605";"1242";"3912"
"13";"Boa Esperança - ES";"285";"270";"385";"342";"960";"194";"766";"356";"1134"
"14";"Bom Jesus do Norte - ES";"242";"248";"259";"222";"549";"109";"440";"219";"626"
"15";"Brejetuba - ES";"191";"152";"393";"369";"897";"171";"726";"390";"1115"
"16";"Cachoeiro de Itapemirim - ES";"5360";"5043";"4791";"4280";"13441";"2884";"10557";"5414";"16562"
"17";"Cariacica - ES";"3006";"2563";"10596";"9549";"27932";"6261";"21671";"11999";"36268"
"18";"Castelo - ES";"665";"631";"828";"752";"1920";"466";"1454";"869";"2599"
"19";"Colatina - ES";"2875";"2644";"2797";"2532";"6712";"1512";"5200";"2816";"9081"
"20";"Conceição da Barra - ES";"801";"728";"840";"757";"2499";"401";"2098";"799";"2425"
"21";"Conceição do Castelo - ES";"274";"260";"346";"315";"746";"177";"569";"326";"1010"
"22";"Divino de São Lourenço - ES";"15";"12";"107";"99";"280";"56";"224";"109";"322"
"23";"Domingos Martins - ES";"572";"553";"865";"785";"1914";"467";"1447";"876";"2722"
"24";"Dores do Rio Preto - ES";"46";"40";"184";"166";"407";"64";"343";"154";"410"
"25";"Ecoporanga - ES";"564";"539";"560";"492";"1327";"317";"1010";"570";"1777"
"26";"Fundão - ES";"319";"285";"515";"468";"1329";"239";"1090";"498";"1489"
"27";"Governador Lindenberg - ES";"239";"223";"260";"239";"841";"110";"731";"229";"710"
"28";"Guaçuí - ES";"604";"567";"778";"709";"1899";"448";"1451";"898";"2578"
"29";"Guarapari - ES";"2468";"2350";"3244";"2910";"8008";"1750";"6258";"3158";"10250"
"30";"Ibatiba - ES";"232";"237";"683";"603";"1766";"338";"1428";"636";"1992"
"31";"Ibiraçu - ES";"316";"290";"311";"291";"727";"161";"566";"310";"932"
"32";"Ibitirama - ES";"242";"225";"255";"222";"653";"143";"510";"281";"852"
"33";"Iconha - ES";"327";"302";"288";"262";"795";"141";"654";"281";"860"
"34";"Irupi - ES";"221";"208";"320";"294";"838";"163";"675";"319";"977"
"35";"Itaguaçu - ES";"230";"218";"302";"277";"721";"151";"570";"252";"794"
"36";"Itapemirim - ES";"1168";"1085";"1149";"1054";"2451";"557";"1894";"992";"3303"
"37";"Itarana - ES";"138";"129";"218";"199";"320";"100";"220";"193";"599"
"38";"Iúna - ES";"344";"345";"761";"677";"2111";"371";"1740";"654";"2215"
"39";"Jaguaré - ES";"739";"680";"838";"758";"2332";"513";"1819";"873";"2815"
"40";"Jerônimo Monteiro - ES";"165";"145";"259";"231";"644";"124";"520";"246";"817"
"41";"João Neiva - ES";"384";"356";"382";"342";"1000";"204";"796";"416";"1184"
"42";"Laranja da Terra - ES";"76";"68";"246";"221";"530";"95";"435";"191";"548"
"43";"Linhares - ES";"4583";"4193";"4638";"4193";"12749";"2642";"10107";"4761";"15019"
"44";"Mantenópolis - ES";"302";"275";"342";"316";"1033";"178";"855";"343";"1022"
"45";"Marataízes - ES";"800";"741";"1049";"963";"2738";"547";"2191";"1018";"3199"
"46";"Marechal Floriano - ES";"444";"406";"438";"395";"1192";"247";"945";"372";"1341"
