 Mortalidade - Brasil - Dados preliminares
Óbitos p/Residênc por Município e Faixa Etária
Causas evitáveis - 0 a 4 anos: 1.1. Reduzível pelas ações de imunização, 1.2.1 Reduzíveis atenção à mulher na gestação, 1.2.2 Reduz por adequada atenção à mulher no parto, 1.2.3 Reduzíveis adequada atenção ao recém-nascido, 1.3. Reduz ações diagnóstico e tratamento adequado, 1.4. Reduz. ações promoção à saúde vinc. Aç. At
Faixa Etária: Menor 1 ano, 1 a 4 anos, 5 a 9 anos
Período:2017
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"Total"
"110001 Alta Floresta D'Oeste";2;-;-;2
"110037 Alto Alegre dos Parecis";1;-;-;1
"110040 Alto Paraíso";3;-;-;3
"110034 Alvorada D'Oeste";2;2;-;4
"110002 Ariquemes";14;2;-;16
"110045 Buritis";7;2;-;9
"110004 Cacoal";11;1;-;12
"110080 Candeias do Jamari";3;-;-;3
"110005 Cerejeiras";1;-;-;1
"110092 Chupinguaia";1;-;-;1
"110006 Colorado do Oeste";2;-;-;2
"110007 Corumbiara";2;-;1;3
"110008 Costa Marques";3;-;-;3
"110094 Cujubim";1;-;-;1
"110010 Guajará-Mirim";12;2;-;14
"110110 Itapuã do Oeste";-;-;1;1
"110011 Jaru";3;1;-;4
"110012 Ji-Paraná";17;4;1;22
"110013 Machadinho D'Oeste";3;-;1;4
"110130 Mirante da Serra";2;-;1;3
"110140 Monte Negro";2;-;-;2
"110033 Nova Mamoré";4;-;-;4
"110015 Ouro Preto do Oeste";1;-;1;2
"110145 Parecis";1;-;-;1
"110018 Pimenta Bueno";9;-;-;9
"110020 Porto Velho";72;9;3;84
"110025 Presidente Médici";6;-;-;6
"110147 Primavera de Rondônia";2;-;-;2
"110028 Rolim de Moura";3;1;3;7
"110029 Santa Luzia D'Oeste";1;-;-;1
"110148 São Felipe D'Oeste";1;-;-;1
"110149 São Francisco do Guaporé";4;-;-;4
"110032 São Miguel do Guaporé";5;-;-;5
"110150 Seringueiras";1;-;-;1
"110155 Teixeirópolis";1;-;-;1
"110160 Theobroma";2;-;-;2
"110030 Vilhena";12;2;2;16
"120001 Acrelândia";3;-;-;3
"120005 Assis Brasil";1;2;-;3
"120010 Brasiléia";5;1;1;7
"120013 Bujari";1;-;-;1
"120017 Capixaba";1;1;-;2
"120020 Cruzeiro do Sul";9;1;2;12
"120025 Epitaciolândia";2;-;-;2
"120030 Feijó";7;4;2;13
"120032 Jordão";5;-;-;5
"120033 Mâncio Lima";1;-;-;1
"120034 Manoel Urbano";6;3;-;9
"120035 Marechal Thaumaturgo";8;1;-;9
"120038 Plácido de Castro";2;-;-;2
"120080 Porto Acre";2;-;-;2
"120039 Porto Walter";4;1;-;5
"120040 Rio Branco";49;6;2;57
"120042 Rodrigues Alves";5;2;-;7
"120043 Santa Rosa do Purus";5;3;-;8
"120050 Sena Madureira";10;2;-;12
"120045 Senador Guiomard";4;1;1;6
"120060 Tarauacá";21;-;1;22
"130002 Alvarães";8;2;-;10
"130006 Amaturá";2;-;-;2
"130010 Anori";3;-;-;3
"130014 Apuí";2;-;-;2
"130020 Atalaia do Norte";10;3;1;14
"130030 Autazes";3;2;-;5
"130040 Barcelos";37;4;1;42
"130050 Barreirinha";11;4;2;17
"130060 Benjamin Constant";14;3;-;17
"130063 Beruri";4;-;-;4
"130068 Boa Vista do Ramos";3;1;-;4
"130070 Boca do Acre";7;1;-;8
"130080 Borba";5;2;-;7
"130083 Caapiranga";4;-;-;4
"130090 Canutama";3;1;-;4
"130100 Carauari";10;2;-;12
"130110 Careiro";3;2;2;7
"130120 Coari";22;4;-;26
"130130 Codajás";4;1;-;5
"130140 Eirunepé";24;2;5;31
"130150 Envira";7;2;1;10
"130160 Fonte Boa";7;4;-;11
"130165 Guajará";3;2;-;5
"130170 Humaitá";8;1;1;10
"130180 Ipixuna";8;1;1;10
"130185 Iranduba";2;1;4;7
"130190 Itacoatiara";29;1;1;31
"130195 Itamarati";3;-;-;3
"130200 Itapiranga";2;1;-;3
"130210 Japurá";1;-;-;1
"130220 Juruá";4;1;-;5
"130230 Jutaí";12;2;-;14
"130240 Lábrea";7;-;-;7
"130250 Manacapuru";16;5;2;23
"130255 Manaquiri";1;1;-;2
"130260 Manaus";366;40;21;427
"130270 Manicoré";14;1;1;16
"130280 Maraã";5;1;-;6
"130290 Maués";18;-;1;19
"130300 Nhamundá";4;1;1;6
"130310 Nova Olinda do Norte";9;1;2;12
"130320 Novo Airão";1;1;-;2
"130330 Novo Aripuanã";2;1;-;3
"130340 Parintins";34;4;3;41
"130350 Pauini";7;-;-;7
"130353 Presidente Figueiredo";2;-;1;3
"130356 Rio Preto da Eva";2;3;1;6
"130360 Santa Isabel do Rio Negro";8;2;-;10
"130370 Santo Antônio do Içá";7;3;1;11
"130380 São Gabriel da Cachoeira";30;14;3;47
"130390 São Paulo de Olivença";12;1;3;16
"130395 São Sebastião do Uatumã";2;-;-;2
"130406 Tabatinga";21;2;1;24
"130410 Tapauá";5;1;1;7
"130420 Tefé";25;4;2;31
"130423 Tonantins";5;1;-;6
"130426 Uarini";4;-;-;4
"130430 Urucará";1;-;-;1
"130440 Urucurituba";5;-;-;5
"140005 Alto Alegre";16;7;1;24
"140002 Amajari";4;3;1;8
"140010 Boa Vista";45;3;3;51
"140015 Bonfim";5;3;1;9
"140017 Cantá";3;1;-;4
"140020 Caracaraí";15;3;2;20
"140023 Caroebe";2;-;-;2
"140028 Iracema";1;1;-;2
"140030 Mucajaí";4;-;1;5
"140040 Normandia";4;1;1;6
"140045 Pacaraima";9;-;-;9
"140047 Rorainópolis";5;-;1;6
"140070 Uiramutã";13;3;-;16
"150010 Abaetetuba";26;7;4;37
"150013 Abel Figueiredo";3;-;-;3
"150020 Acará";11;7;1;19
"150030 Afuá";9;4;1;14
"150034 Água Azul do Norte";2;-;-;2
"150040 Alenquer";26;1;1;28
"150050 Almeirim";9;4;3;16
"150060 Altamira";26;4;1;31
"150070 Anajás";7;2;-;9
"150080 Ananindeua";84;7;5;96
"150085 Anapu";8;4;1;13
"150090 Augusto Corrêa";14;5;-;19
"150095 Aurora do Pará";2;-;-;2
"150100 Aveiro";3;-;-;3
"150110 Bagre";3;-;2;5
"150120 Baião";13;2;1;16
"150130 Barcarena";17;2;1;20
"150140 Belém";188;24;13;225
"150145 Belterra";6;-;-;6
"150150 Benevides";8;1;-;9
"150157 Bom Jesus do Tocantins";5;1;-;6
"150160 Bonito";2;-;-;2
"150170 Bragança";19;1;1;21
"150172 Brasil Novo";2;-;-;2
