 Mortalidade - Brasil - Dados preliminares
Óbitos p/Residênc por Município e Capítulo CID-10
Capítulo CID-10: XV.  Gravidez parto e puerpério
Período:2017
"Município";"Cap XV";"Total"
"110037 Alto Alegre dos Parecis";1;1
"110002 Ariquemes";1;1
"110070 Campo Novo de Rondônia";1;1
"110092 Chupinguaia";1;1
"110006 Colorado do Oeste";1;1
"110094 Cujubim";1;1
"110010 Guajará-Mirim";1;1
"110011 Jaru";2;2
"110012 Ji-Paraná";4;4
"110015 Ouro Preto do Oeste";2;2
"110020 Porto Velho";7;7
"120010 Brasiléia";1;1
"120020 Cruzeiro do Sul";1;1
"120030 Feijó";1;1
"120035 Marechal Thaumaturgo";1;1
"120040 Rio Branco";2;2
"120043 Santa Rosa do Purus";1;1
"120070 Xapuri";1;1
"130020 Atalaia do Norte";1;1
"130068 Boa Vista do Ramos";1;1
"130120 Coari";3;3
"130130 Codajás";2;2
"130140 Eirunepé";1;1
"130150 Envira";1;1
"130160 Fonte Boa";3;3
"130170 Humaitá";1;1
"130190 Itacoatiara";1;1
"130195 Itamarati";1;1
"130230 Jutaí";1;1
"130250 Manacapuru";2;2
"130260 Manaus";14;14
"130270 Manicoré";1;1
"130290 Maués";5;5
"130300 Nhamundá";1;1
"130340 Parintins";2;2
"130370 Santo Antônio do Içá";1;1
"130380 São Gabriel da Cachoeira";3;3
"130406 Tabatinga";2;2
"130410 Tapauá";1;1
"130420 Tefé";1;1
"140005 Alto Alegre";1;1
"140010 Boa Vista";2;2
"140017 Cantá";1;1
"140047 Rorainópolis";1;1
"140070 Uiramutã";1;1
"150010 Abaetetuba";1;1
"150013 Abel Figueiredo";1;1
"150020 Acará";2;2
"150060 Altamira";3;3
"150070 Anajás";1;1
"150080 Ananindeua";5;5
"150085 Anapu";1;1
"150095 Aurora do Pará";1;1
"150100 Aveiro";1;1
"150130 Barcarena";1;1
"150140 Belém";17;17
"150160 Bonito";1;1
"150180 Breves";3;3
"150190 Bujaru";2;2
"150210 Cametá";5;5
"150270 Conceição do Araguaia";1;1
"150280 Curralinho";1;1
"150293 Dom Eliseu";2;2
"150300 Faro";1;1
"150330 Igarapé-Miri";1;1
"150345 Ipixuna do Pará";3;3
"150350 Irituia";1;1
"150360 Itaituba";2;2
"150370 Itupiranga";1;1
"150390 Juruti";2;2
"150400 Limoeiro do Ajuru";1;1
"150420 Marabá";3;3
"150440 Marapanim";1;1
"150442 Marituba";3;3
"150445 Medicilândia";1;1
"150450 Melgaço";2;2
"150460 Mocajuba";1;1
"150470 Moju";1;1
"150480 Monte Alegre";1;1
"150497 Nova Ipixuna";1;1
"150506 Novo Repartimento";1;1
"150510 Óbidos";2;2
"150530 Oriximiná";2;2
"150548 Pacajá";2;2
"150549 Palestina do Pará";1;1
"150550 Paragominas";6;6
"150553 Parauapebas";6;6
"150580 Portel";6;6
"150600 Prainha";1;1
"150613 Redenção";1;1
"150618 Rondon do Pará";1;1
"150620 Salinópolis";4;4
"150630 Salvaterra";1;1
"150650 Santa Izabel do Pará";1;1
"150680 Santarém";5;5
"150730 São Félix do Xingu";1;1
"150747 São João de Pirabas";1;1
"150760 São Miguel do Guamá";1;1
"150795 Tailândia";1;1
"150800 Tomé-Açu";1;1
"150805 Trairão";1;1
"150808 Tucumã";2;2
"150810 Tucuruí";1;1
"150815 Uruará";1;1
"150830 Viseu";1;1
"150835 Vitória do Xingu";1;1
"150840 Xinguara";1;1
"160030 Macapá";4;4
"160050 Oiapoque";1;1
"160060 Santana";1;1
"160070 Tartarugalzinho";1;1
"170070 Alvorada";1;1
"170210 Araguaína";2;2
"170305 Bandeirantes do Tocantins";1;1
"170560 Conceição do Tocantins";1;1
"170600 Couto Magalhães";1;1
"170950 Gurupi";3;3
"171320 Miracema do Tocantins";1;1
"171420 Natividade";1;1
"171488 Nova Olinda";1;1
"172100 Palmas";5;5
"171620 Paranã";1;1
"171650 Pedro Afonso";1;1
"171665 Pequizeiro";1;1
"171780 Ponte Alta do Bom Jesus";1;1
"171880 Sampaio";1;1
"172049 São Valério";1;1
"172080 Sítio Novo do Tocantins";1;1
"172208 Wanderlândia";1;1
"210005 Açailândia";3;3
"210010 Afonso Cunha";1;1
"210030 Aldeias Altas";1;1
"210043 Alto Alegre do Maranhão";1;1
"210060 Amarante do Maranhão";2;2
"210083 Apicum-Açu";1;1
"210120 Bacabal";2;2
"210135 Bacurituba";1;1
"210150 Barão de Grajaú";1;1
"210173 Belágua";1;1
"210203 Bom Jesus das Selvas";1;1
"210210 Brejo";1;1
"210232 Buriticupu";1;1
"210240 Cajapió";1;1
"210270 Cantanhede";1;1
"210290 Carutapera";1;1
"210300 Caxias";7;7
"210330 Codó";5;5
"210360 Coroatá";1;1
"210375 Davinópolis";1;1
"210408 Fernando Falcão";1;1
"210420 Fortuna";1;1
"210450 Governador Archer";1;1
"210480 Grajaú";3;3
"210515 Igarapé do Meio";1;1
"210530 Imperatriz";4;4
"210535 Itaipava do Grajaú";1;1
"210540 Itapecuru Mirim";1;1
"210542 Itinga do Maranhão";1;1
"210598 Lajeado Novo";1;1
"210637 Maranhãozinho";1;1
"210640 Mata Roma";1;1
"210675 Miranda do Norte";1;1
"210690 Monção";2;2
"210710 Morros";1;1
"210725 Nova Colinas";1;1
"210750 Paço do Lumiar";1;1
"210770 Paraibano";1;1
"210790 Passagem Franca";2;2
"210830 Penalva";1;1
"210845 Peritoró";1;1
"210860 Pinheiro";2;2
"210927 Presidente Sarney";1;1
"210940 Primeira Cruz";1;1
"210990 Santa Inês";4;4
"211000 Santa Luzia";3;3
"211010 Santa Quitéria do Maranhão";1;1
"211020 Santa Rita";2;2
"211030 Santo Antônio dos Lopes";1;1
"211040 São Benedito do Rio Preto";1;1
"211050 São Bento";1;1
"211107 São João do Soter";1;1
"211110 São João dos Patos";2;2
"211130 São Luís";7;7
"211140 São Luís Gonzaga do Maranhão";1;1
"211200 Tasso Fragoso";1;1
"211220 Timon";1;1
"211260 Urbano Santos";3;3
"211270 Vargem Grande";2;2
"220030 Alto Longá";1;1
"220105 Assunção do Piauí";1;1
"220120 Barras";2;2
"220173 Betânia do Piauí";1;1
"220200 Buriti dos Lopes";1;1
"220230 Canto do Buriti";1;1
"220290 Corrente";2;2
"220320 Curimatá";1;1
"220323 Currais";1;1
"220345 Dom Inocêncio";1;1
"220460 Hugo Napoleão";1;1
"220480 Ipiranga do Piauí";1;1
"220510 Itaueira";1;1
"220551 Juazeiro do Piauí";1;1
"220555 Lagoa Alegre";1;1
"220580 Luzilândia";1;1
"220770 Parnaíba";2;2
"220777 Patos do Piauí";1;1
"220780 Paulistana";1;1
"220820 Pio IX";1;1
"220840 Piripiri";2;2
"220850 Porto";1;1
"220987 São João da Fronteira";1;1
"220997 São João do Arraial";1;1
"221010 São José do Peixe";1;1
"221097 Tanque do Piauí";1;1
"221100 Teresina";6;6
"230010 Abaiara";1;1
"230075 Amontada";1;1
"230160 Assaré";1;1
"230190 Barbalha";3;3
"230230 Bela Cruz";1;1
"230250 Brejo Santo";1;1
"230260 Camocim";1;1
"230340 Carnaubal";1;1
"230350 Cascavel";2;2
"230370 Caucaia";2;2
"230427 Ererê";1;1
"230430 Farias Brito";1;1
"230440 Fortaleza";17;17
"230450 Frecheirinha";1;1
"230500 Guaraciaba do Norte";2;2
"230520 Hidrolândia";1;1
"230526 Ibaretama";1;1
"230550 Iguatu";1;1
"230565 Ipaporanga";1;1
"230610 Irauçuba";1;1
"230650 Itapiúna";1;1
"230655 Itarema";2;2
"230680 Jaguaribara";1;1
"230710 Jardim";1;1
"230730 Juazeiro do Norte";1;1
"230760 Limoeiro do Norte";1;1
"230765 Maracanaú";3;3
"230770 Maranguape";2;2
"230810 Mauriti";1;1
"230840 Missão Velha";1;1
"230870 Morada Nova";1;1
"230940 Novo Oriente";1;1
"230945 Ocara";1;1
"230960 Pacajus";2;2
"230970 Pacatuba";2;2
"231030 Parambu";1;1
"231050 Pedra Branca";1;1
"231126 Quiterianópolis";2;2
"231140 Quixeramobim";5;5
"231160 Redenção";1;1
"231190 Saboeiro";1;1
"231220 Santa Quitéria";2;2
"231240 São Gonçalo do Amarante";1;1
"231290 Sobral";1;1
"231350 Trairi";4;4
"231380 Uruburetama";1;1
"231395 Varjota";1;1
"231410 Viçosa do Ceará";1;1
"240020 Açu";2;2
"240050 Alexandria";1;1
"240140 Baía Formosa";1;1
"240160 Bento Fernandes";1;1
"240170 Bom Jesus";1;1
"240260 Ceará-Mirim";2;2
"240320 Doutor Severiano";1;1
"240330 Encanto";1;1
"240360 Extremoz";1;1
"240460 Ielmo Marinho";1;1
"240470 Ipanguaçu";1;1
"240650 Lagoa Nova";1;1
"240710 Macaíba";1;1
"240800 Mossoró";4;4
"240810 Natal";8;8
"240830 Nova Cruz";2;2
"240325 Parnamirim";2;2
"240920 Passagem";1;1
"240990 Pendências";1;1
"241300 São Vicente";1;1
"241390 Taipu";1;1
"241440 Touros";1;1
"241480 Vera Cruz";1;1
"250060 Alhandra";1;1
"250110 Areia";1;1
"250130 Aroeiras";1;1
"250140 Baía da Traição";1;1
"250150 Bananeiras";1;1
"250170 Barra de São Miguel";1;1
"250190 Belém";1;1
"250320 Cabedelo";1;1
"250355 Cacimbas";1;1
"250370 Cajazeiras";1;1
"250400 Campina Grande";2;2
"250440 Conceição";1;1
"250527 Curral de Cima";1;1
"250720 Itatuba";1;1
"250750 João Pessoa";8;8
"250905 Marcação";1;1
"250920 Massaranduba";1;1
"251000 Nazarezinho";1;1
"251080 Patos";1;1
"251110 Pedra Lavrada";1;1
"251250 Queimadas";1;1
"251280 Riacho dos Cavalos";1;1
"251320 Santa Cruz";1;1
"251370 Santa Rita";2;2
"251350 Santana de Mangueira";1;1
"251390 São Bento";1;1
"251450 São José de Piranhas";1;1
"251455 São José de Princesa";1;1
"251490 São Mamede";1;1
"251680 Triunfo";1;1
"251700 Umbuzeiro";1;1
"251710 Várzea";1;1
"260005 Abreu e Lima";1;1
"260040 Água Preta";1;1
"260050 Águas Belas";1;1
"260110 Araripina";1;1
"260170 Belo Jardim";2;2
"260210 Bom Conselho";1;1
"260220 Bom Jardim";1;1
"260260 Brejo da Madre de Deus";1;1
"260310 Cachoeirinha";1;1
"260320 Caetés";1;1
"260345 Camaragibe";3;3
"260390 Carnaíba";2;2
"260410 Caruaru";2;2
"260420 Catende";1;1
"260460 Condado";1;1
"260500 Cupira";2;2
"260580 Frei Miguelinho";1;1
"260600 Garanhuns";1;1
"260620 Goiana";1;1
"260640 Gravatá";1;1
"260660 Ibimirim";1;1
"260680 Igarassu";3;3
"260720 Ipojuca";2;2
"260730 Ipubi";1;1
"260765 Itambé";1;1
"260775 Itapissuma";1;1
"260790 Jaboatão dos Guararapes";9;9
"260890 Limoeiro";1;1
"260930 Mirandiba";1;1
"260940 Moreno";3;3
"260950 Nazaré da Mata";1;1
"260960 Olinda";2;2
"261050 Passira";1;1
"261070 Paulista";3;3
"261110 Petrolina";4;4
"261130 Pombos";1;1
"261160 Recife";15;15
"261180 Ribeirão";1;1
"261220 Salgueiro";1;1
"261250 Santa Cruz do Capibaribe";2;2
"261260 Santa Maria da Boa Vista";1;1
"261280 Santa Terezinha";1;1
"261290 São Benedito do Sul";1;1
"261330 São Joaquim do Monte";1;1
"261350 São José do Belmonte";1;1
"261370 São Lourenço da Mata";2;2
"261410 Sertânia";1;1
"261470 Tacaimbó";1;1
"261485 Tamandaré";2;2
"261500 Taquaritinga do Norte";1;1
"261530 Timbaúba";1;1
