 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos, 20 a 24 anos, 25 a 29 anos, 30 a 34 anos, 35 a 39 anos, 40 a 44 anos, 45 a 49 anos, 50 a 54 anos, 55 a 59 anos, 60 a 64 anos, 65 a 69 anos
Período:2016
"Município";"Menor de 10 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"Total"
"110001 Alta Floresta D'Oeste";-;1;57;96;92;56;17;6;1;-;-;-;-;326
"110037 Alto Alegre dos Parecis";-;1;37;46;49;26;9;-;-;-;-;-;-;168
"110040 Alto Paraíso";-;2;54;64;59;28;10;3;-;-;-;-;-;220
"110034 Alvorada D'Oeste";-;2;34;41;48;30;8;3;-;-;-;-;-;166
"110002 Ariquemes";-;19;325;498;414;268;113;25;-;-;-;-;-;1662
"110045 Buritis";-;7;147;208;151;82;25;4;-;-;-;-;-;624
"110003 Cabixi";-;-;12;13;22;17;9;-;-;-;-;-;-;73
"110060 Cacaulândia";-;1;13;20;21;8;4;-;-;-;-;-;-;67
"110004 Cacoal";-;8;205;366;393;238;113;14;1;-;-;-;-;1338
"110070 Campo Novo de Rondônia";-;-;46;49;29;29;8;1;-;-;-;-;-;162
"110080 Candeias do Jamari";-;4;97;113;79;60;15;4;-;-;-;-;-;372
"110090 Castanheiras";-;2;9;21;13;8;2;-;-;-;-;-;-;55
"110005 Cerejeiras";-;-;43;78;72;46;22;2;-;-;-;-;-;263
"110092 Chupinguaia";-;1;30;56;33;22;8;3;-;-;-;-;-;153
"110006 Colorado do Oeste";-;-;33;56;56;52;21;4;-;-;-;1;-;223
"110007 Corumbiara";-;1;27;45;39;15;8;3;1;-;-;-;-;139
"110008 Costa Marques";-;5;64;65;44;22;12;1;-;-;-;-;-;213
"110094 Cujubim";-;3;66;71;53;32;13;3;-;-;-;-;-;241
"110009 Espigão D'Oeste";-;10;109;140;107;76;36;8;-;-;-;-;-;486
"110100 Governador Jorge Teixeira";-;1;23;37;30;15;5;1;-;-;-;-;-;112
"110010 Guajará-Mirim";-;11;209;228;212;129;80;14;1;-;-;-;-;884
"110110 Itapuã do Oeste";-;4;31;34;31;17;11;1;-;-;-;-;-;129
"110011 Jaru";-;4;124;248;219;144;55;13;-;-;-;-;-;807
"110012 Ji-Paraná";-;10;315;559;515;369;166;38;3;1;-;-;-;1976
"110013 Machadinho D'Oeste";-;4;103;117;106;41;22;5;-;-;-;-;-;398
"110120 Ministro Andreazza";-;1;13;26;22;23;7;1;-;-;-;-;-;93
"110130 Mirante da Serra";-;-;33;46;37;24;8;-;-;-;-;-;-;148
"110140 Monte Negro";-;3;36;52;48;24;7;3;-;-;-;-;-;173
"110014 Nova Brasilândia D'Oeste";-;1;55;92;73;35;16;4;-;-;-;-;-;276
"110033 Nova Mamoré";-;11;78;135;102;63;18;4;-;-;-;-;-;411
"110143 Nova União";-;1;14;25;24;17;7;2;-;-;-;-;-;90
"110050 Novo Horizonte do Oeste";-;1;17;32;23;9;11;2;-;-;-;-;-;95
"110015 Ouro Preto do Oeste";-;2;87;168;159;119;40;7;-;-;-;-;-;582
"110145 Parecis";-;-;7;17;15;9;1;1;-;-;-;-;-;50
"110018 Pimenta Bueno";-;6;132;181;155;88;29;10;-;-;-;-;-;601
"110146 Pimenteiras do Oeste";-;-;8;11;8;4;3;-;-;-;-;-;-;34
"110020 Porto Velho";-;98;1620;2387;2017;1531;779;171;7;1;-;-;-;8611
"110025 Presidente Médici";-;1;54;76;59;58;24;4;-;-;-;-;-;276
"110147 Primavera de Rondônia";-;2;13;16;15;9;1;-;-;-;-;-;-;56
"110026 Rio Crespo";-;-;6;11;6;10;2;-;-;-;-;-;-;35
"110028 Rolim de Moura";-;3;146;270;227;148;53;8;-;-;-;-;-;855
"110029 Santa Luzia D'Oeste";-;-;19;39;26;21;9;-;-;-;-;-;-;114
"110148 São Felipe D'Oeste";-;-;8;15;21;8;2;-;-;-;-;-;-;54
"110149 São Francisco do Guaporé";-;3;72;83;82;47;16;2;-;-;-;-;-;305
"110032 São Miguel do Guaporé";-;1;56;112;90;55;19;4;-;-;-;-;-;337
"110150 Seringueiras";-;-;42;50;40;27;10;2;-;-;-;-;-;171
"110155 Teixeirópolis";-;-;17;20;14;4;4;-;-;-;-;-;-;59
"110160 Theobroma";-;3;20;34;38;23;10;3;-;-;-;-;-;131
"110170 Urupá";-;-;35;45;35;24;9;3;-;-;-;-;-;151
"110175 Vale do Anari";-;2;19;35;33;14;7;-;-;-;-;-;-;110
"110180 Vale do Paraíso";-;1;22;33;19;16;5;2;-;-;-;-;-;98
"110030 Vilhena";-;8;243;411;384;242;120;19;-;-;-;-;-;1427
"110000 Município ignorado - RO";-;-;1;-;-;1;-;-;-;-;-;-;-;2
"120001 Acrelândia";-;-;52;72;48;36;10;4;-;-;-;-;-;222
"120005 Assis Brasil";-;12;51;38;39;23;22;4;1;-;-;-;-;190
"120010 Brasiléia";-;12;129;143;103;71;23;8;-;1;-;-;-;490
"120013 Bujari";-;9;66;71;41;33;23;5;-;-;-;-;-;248
"120017 Capixaba";-;3;44;62;38;23;18;6;-;-;-;-;-;194
"120020 Cruzeiro do Sul";-;20;418;457;333;238;128;36;2;-;-;-;-;1632
"120025 Epitaciolândia";-;7;61;69;50;54;20;9;-;-;-;-;-;270
"120030 Feijó";-;21;247;219;147;106;78;14;1;1;-;-;-;834
"120032 Jordão";-;15;71;68;44;31;20;12;2;-;-;-;-;263
"120033 Mâncio Lima";-;6;89;83;74;43;26;4;-;-;-;-;-;325
"120034 Manoel Urbano";-;13;49;61;50;39;17;5;1;-;-;-;-;235
"120035 Marechal Thaumaturgo";-;10;100;88;74;39;20;17;3;-;-;-;-;351
"120038 Plácido de Castro";-;8;94;82;52;61;34;8;-;-;-;-;-;339
"120080 Porto Acre";-;5;87;101;72;45;36;10;-;-;-;-;-;356
"120039 Porto Walter";-;5;79;54;39;27;20;5;1;-;-;-;-;230
"120040 Rio Branco";-;88;1299;1748;1446;1271;615;140;5;2;-;-;-;6614
"120042 Rodrigues Alves";-;4;88;79;59;44;22;8;-;-;-;-;-;304
"120043 Santa Rosa do Purus";-;3;26;24;12;11;12;5;1;-;-;-;-;94
"120050 Sena Madureira";-;20;227;216;129;89;67;11;2;-;-;-;-;761
"120045 Senador Guiomard";-;3;108;130;79;49;30;10;1;-;-;-;-;410
"120060 Tarauacá";-;31;342;291;194;128;69;23;-;-;-;-;-;1078
"120070 Xapuri";-;10;86;91;68;44;25;4;1;-;-;-;-;329
"130002 Alvarães";-;10;121;101;51;22;17;2;1;-;-;-;-;325
"130006 Amaturá";-;4;73;88;63;29;19;4;-;-;-;-;-;280
"130008 Anamã";-;1;53;53;40;21;11;2;1;-;-;-;-;182
"130010 Anori";-;6;79;84;52;29;12;4;-;-;-;-;-;266
"130014 Apuí";-;5;59;65;46;26;9;1;-;-;-;-;-;211
"130020 Atalaia do Norte";-;16;87;116;76;47;25;7;6;-;-;-;-;380
"130030 Autazes";-;27;268;260;163;101;55;14;2;-;-;-;-;890
"130040 Barcelos";-;14;143;140;99;49;34;11;-;1;-;-;-;491
"130050 Barreirinha";-;19;241;214;162;108;48;13;3;2;-;-;-;810
"130060 Benjamin Constant";-;13;258;281;212;160;76;18;1;1;-;1;-;1021
"130063 Beruri";-;18;160;142;93;65;21;9;2;-;-;-;-;510
"130068 Boa Vista do Ramos";-;12;98;77;60;38;23;4;-;-;-;-;-;312
"130070 Boca do Acre";-;20;204;201;109;68;36;15;-;-;-;-;-;653
"130080 Borba";-;22;198;225;120;65;26;5;1;-;-;-;-;662
"130083 Caapiranga";-;5;55;54;35;20;12;1;1;-;-;-;-;183
"130090 Canutama";-;11;77;54;40;29;5;-;1;-;-;-;-;217
"130100 Carauari";-;18;195;190;93;76;40;11;2;-;-;-;-;625
"130110 Careiro";-;8;109;129;121;69;30;12;3;-;-;-;-;481
"130115 Careiro da Várzea";-;4;54;49;32;43;11;6;-;-;-;-;-;199
"130120 Coari";-;43;460;523;296;197;104;21;2;-;-;-;-;1646
"130130 Codajás";-;4;123;124;80;47;18;7;1;-;-;-;-;404
"130140 Eirunepé";-;25;247;229;130;95;53;6;2;-;-;-;-;787
"130150 Envira";-;11;123;87;73;36;25;10;4;-;-;-;-;369
"130160 Fonte Boa";-;24;205;155;108;64;13;4;-;-;-;-;-;573
"130165 Guajará";-;6;90;69;48;48;19;4;-;-;-;-;-;284
"130170 Humaitá";-;26;271;311;173;128;53;14;1;-;-;-;-;977
"130180 Ipixuna";-;8;124;124;53;46;20;13;1;-;-;-;-;389
"130185 Iranduba";-;23;275;266;174;109;71;9;1;-;-;-;-;928
"130190 Itacoatiara";-;49;564;571;423;268;124;26;3;-;-;-;-;2028
"130195 Itamarati";-;8;70;91;41;29;15;6;1;1;-;-;1;263
"130200 Itapiranga";-;3;54;53;43;21;11;2;-;-;-;-;-;187
"130210 Japurá";-;7;47;38;28;16;9;5;-;-;-;-;-;150
"130220 Juruá";-;4;67;48;22;20;11;2;1;-;-;-;-;175
"130230 Jutaí";-;15;195;158;107;76;39;13;1;-;-;-;-;604
"130240 Lábrea";-;22;197;206;126;79;21;1;-;-;-;-;-;652
"130250 Manacapuru";-;37;531;510;371;223;95;25;3;-;-;-;-;1795
"130255 Manaquiri";-;2;45;93;57;37;17;1;1;-;-;-;-;253
"130260 Manaus";-;420;7527;10996;8936;7159;3598;919;48;-;-;-;-;39603
"130270 Manicoré";-;22;260;254;170;130;57;16;2;-;-;-;-;911
"130280 Maraã";-;9;102;116;63;31;25;12;-;-;-;-;-;358
"130290 Maués";-;31;344;342;252;173;100;26;5;-;-;-;-;1273
"130300 Nhamundá";-;7;90;115;64;46;9;7;-;-;-;-;-;338
"130310 Nova Olinda do Norte";-;11;193;183;96;60;35;7;1;1;-;-;-;587
"130320 Novo Airão";-;16;75;88;56;41;9;4;-;-;-;-;-;289
"130330 Novo Aripuanã";-;13;119;109;75;44;18;5;3;-;-;-;-;386
"130340 Parintins";-;36;530;597;373;232;127;34;3;-;-;-;-;1932
"130350 Pauini";-;20;122;87;56;39;19;4;1;-;-;-;-;348
"130353 Presidente Figueiredo";-;10;133;165;102;82;45;10;-;1;-;-;-;548
"130356 Rio Preto da Eva";-;9;106;136;83;45;26;8;2;-;-;-;-;415
"130360 Santa Isabel do Rio Negro";-;4;81;80;55;49;27;7;2;-;-;-;-;305
"130370 Santo Antônio do Içá";-;19;200;203;118;83;57;10;3;-;-;-;-;693
"130380 São Gabriel da Cachoeira";-;7;268;362;266;196;121;32;2;1;-;-;-;1255
"130390 São Paulo de Olivença";-;6;218;234;170;128;90;22;3;-;-;-;-;871
"130395 São Sebastião do Uatumã";-;3;60;56;33;20;6;-;-;-;-;-;-;178
"130400 Silves";-;5;55;62;31;31;17;7;-;-;-;-;-;208
"130406 Tabatinga";-;28;398;463;365;270;158;62;8;1;-;-;-;1753
"130410 Tapauá";-;11;123;126;68;47;11;3;-;-;-;-;-;389
"130420 Tefé";-;36;535;493;310;199;80;22;3;-;1;-;-;1679
"130423 Tonantins";-;5;111;95;62;47;32;11;-;-;-;-;-;363
"130426 Uarini";-;10;83;76;62;21;10;2;-;-;-;-;-;264
"130430 Urucará";-;8;83;75;53;20;18;7;1;-;-;-;-;265
"130440 Urucurituba";-;5;82;98;60;28;21;4;1;-;-;-;-;299
"130000 Município ignorado - AM";-;1;16;3;2;2;1;-;-;-;-;-;-;25
"140005 Alto Alegre";-;24;176;157;99;85;49;25;3;-;-;-;-;618
"140002 Amajari";-;11;95;68;62;56;28;9;-;-;-;-;-;329
"140010 Boa Vista";-;75;1340;1849;1563;1189;593;130;10;-;-;-;-;6749
"140015 Bonfim";-;11;109;86;63;48;39;8;1;-;-;-;-;365
"140017 Cantá";-;8;71;93;76;33;25;9;-;-;-;-;-;315
"140020 Caracaraí";-;20;105;95;82;44;29;6;-;-;-;-;-;381
"140023 Caroebe";-;2;38;43;30;24;7;1;-;-;-;-;-;145
"140028 Iracema";-;10;31;36;28;16;12;2;1;1;-;-;-;137
"140030 Mucajaí";-;10;86;91;53;45;20;3;-;-;-;-;-;308
"140040 Normandia";-;11;99;120;75;75;34;12;2;-;-;-;-;428
"140045 Pacaraima";-;10;98;94;62;49;30;11;2;1;-;-;-;357
