 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Tipo de parto
Tipo de parto: Vaginal, Cesário, Fórceps/outro
Período:2016
"Município";"Vaginal";"Cesário";"Total"
"110001 Alta Floresta D'Oeste";100;226;326
"110037 Alto Alegre dos Parecis";29;139;168
"110040 Alto Paraíso";60;160;220
"110034 Alvorada D'Oeste";49;117;166
"110002 Ariquemes";475;1187;1662
"110045 Buritis";140;483;623
"110003 Cabixi";13;60;73
"110060 Cacaulândia";15;52;67
"110004 Cacoal";280;1058;1338
"110070 Campo Novo de Rondônia";37;125;162
"110080 Candeias do Jamari";217;153;370
"110090 Castanheiras";7;48;55
"110005 Cerejeiras";49;213;262
"110092 Chupinguaia";27;126;153
"110006 Colorado do Oeste";55;167;222
"110007 Corumbiara";29;110;139
"110008 Costa Marques";71;142;213
"110094 Cujubim";92;149;241
"110009 Espigão D'Oeste";105;381;486
"110100 Governador Jorge Teixeira";34;78;112
"110010 Guajará-Mirim";527;355;882
"110110 Itapuã do Oeste";68;61;129
"110011 Jaru";205;599;804
"110012 Ji-Paraná";645;1331;1976
"110013 Machadinho D'Oeste";163;235;398
"110120 Ministro Andreazza";20;73;93
"110130 Mirante da Serra";31;117;148
"110140 Monte Negro";45;128;173
"110014 Nova Brasilândia D'Oeste";29;247;276
"110033 Nova Mamoré";180;230;410
"110143 Nova União";27;63;90
"110050 Novo Horizonte do Oeste";10;85;95
"110015 Ouro Preto do Oeste";121;459;580
"110145 Parecis";6;44;50
"110018 Pimenta Bueno";83;518;601
"110146 Pimenteiras do Oeste";8;26;34
"110020 Porto Velho";4057;4533;8590
"110025 Presidente Médici";100;176;276
"110147 Primavera de Rondônia";8;48;56
"110026 Rio Crespo";16;19;35
"110028 Rolim de Moura";118;737;855
"110029 Santa Luzia D'Oeste";17;97;114
"110148 São Felipe D'Oeste";6;48;54
"110149 São Francisco do Guaporé";67;238;305
"110032 São Miguel do Guaporé";51;286;337
"110150 Seringueiras";36;135;171
"110155 Teixeirópolis";14;45;59
"110160 Theobroma";28;103;131
"110170 Urupá";37;114;151
"110175 Vale do Anari";35;74;109
"110180 Vale do Paraíso";22;76;98
"110030 Vilhena";264;1163;1427
"110000 Município ignorado - RO";2;-;2
"120001 Acrelândia";129;93;222
"120005 Assis Brasil";137;49;186
"120010 Brasiléia";257;233;490
"120013 Bujari";140;108;248
"120017 Capixaba";124;70;194
"120020 Cruzeiro do Sul";883;749;1632
"120025 Epitaciolândia";141;129;270
"120030 Feijó";637;191;828
"120032 Jordão";240;20;260
"120033 Mâncio Lima";220;105;325
"120034 Manoel Urbano";173;60;233
"120035 Marechal Thaumaturgo";286;61;347
"120038 Plácido de Castro";202;137;339
"120080 Porto Acre";209;147;356
"120039 Porto Walter";162;68;230
"120040 Rio Branco";3159;3455;6614
"120042 Rodrigues Alves";184;119;303
"120043 Santa Rosa do Purus";79;15;94
"120050 Sena Madureira";476;285;761
"120045 Senador Guiomard";228;180;408
"120060 Tarauacá";737;324;1061
"120070 Xapuri";215;111;326
"130002 Alvarães";272;53;325
"130006 Amaturá";264;15;279
"130008 Anamã";134;46;180
"130010 Anori";172;94;266
"130014 Apuí";113;97;210
"130020 Atalaia do Norte";338;42;380
"130030 Autazes";648;242;890
"130040 Barcelos";418;76;494
"130050 Barreirinha";682;127;809
"130060 Benjamin Constant";884;137;1021
"130063 Beruri";439;70;509
"130068 Boa Vista do Ramos";222;90;312
"130070 Boca do Acre";405;247;652
"130080 Borba";526;137;663
"130083 Caapiranga";127;56;183
"130090 Canutama";120;96;216
"130100 Carauari";468;152;620
"130110 Careiro";339;142;481
"130115 Careiro da Várzea";141;58;199
"130120 Coari";1056;590;1646
"130130 Codajás";293;107;400
"130140 Eirunepé";551;236;787
"130150 Envira";243;126;369
"130160 Fonte Boa";410;163;573
"130165 Guajará";198;86;284
"130170 Humaitá";516;461;977
"130180 Ipixuna";314;74;388
"130185 Iranduba";657;270;927
"130190 Itacoatiara";1485;542;2027
"130195 Itamarati";220;43;263
"130200 Itapiranga";151;36;187
"130210 Japurá";137;12;149
"130220 Juruá";121;45;166
"130230 Jutaí";569;35;604
"130240 Lábrea";430;220;650
"130250 Manacapuru";1268;527;1795
"130255 Manaquiri";164;89;253
"130260 Manaus";21270;18305;39575
"130270 Manicoré";671;238;909
"130280 Maraã";286;71;357
"130290 Maués";1158;115;1273
"130300 Nhamundá";252;85;337
"130310 Nova Olinda do Norte";425;161;586
"130320 Novo Airão";215;74;289
"130330 Novo Aripuanã";265;119;384
"130340 Parintins";1380;552;1932
"130350 Pauini";227;119;346
"130353 Presidente Figueiredo";328;220;548
"130356 Rio Preto da Eva";290;124;414
"130360 Santa Isabel do Rio Negro";283;22;305
"130370 Santo Antônio do Içá";607;86;693
"130380 São Gabriel da Cachoeira";1138;115;1253
"130390 São Paulo de Olivença";756;114;870
"130395 São Sebastião do Uatumã";145;31;176
"130400 Silves";168;40;208
"130406 Tabatinga";1377;369;1746
"130410 Tapauá";221;168;389
"130420 Tefé";1300;379;1679
"130423 Tonantins";298;65;363
"130426 Uarini";184;80;264
"130430 Urucará";212;53;265
"130440 Urucurituba";265;34;299
"130000 Município ignorado - AM";12;11;23
"140005 Alto Alegre";557;63;620
"140002 Amajari";297;34;331
"140010 Boa Vista";3705;3044;6749
"140015 Bonfim";278;87;365
"140017 Cantá";243;72;315
"140020 Caracaraí";255;126;381
"140023 Caroebe";71;74;145
"140028 Iracema";105;33;138
"140030 Mucajaí";207;101;308
"140040 Normandia";364;64;428
"140045 Pacaraima";276;81;357
"140047 Rorainópolis";196;346;542
"140050 São João da Baliza";47;57;104
"140060 São Luiz";46;37;83
"140070 Uiramutã";470;39;509
"140000 Município ignorado - RR";1;-;1
"150010 Abaetetuba";1229;1302;2531
"150013 Abel Figueiredo";53;64;117
"150020 Acará";632;359;991
"150030 Afuá";733;177;910
"150034 Água Azul do Norte";63;100;163
"150040 Alenquer";876;154;1030
"150050 Almeirim";541;195;736
"150060 Altamira";1274;1572;2846
"150070 Anajás";687;129;816
"150080 Ananindeua";3118;4888;8006
"150085 Anapu";327;248;575
"150090 Augusto Corrêa";684;269;953
"150095 Aurora do Pará";225;170;395
"150100 Aveiro";157;48;205
"150110 Bagre";510;52;562
"150120 Baião";373;194;567
"150125 Bannach";11;26;37
"150130 Barcarena";877;1268;2145
"150140 Belém";6975;12263;19238
"150145 Belterra";159;82;241
"150150 Benevides";429;521;950
"150157 Bom Jesus do Tocantins";117;130;247
"150160 Bonito";80;101;181
"150170 Bragança";1305;817;2122
"150172 Brasil Novo";133;138;271
"150175 Brejo Grande do Araguaia";43;35;78
"150178 Breu Branco";464;302;766
"150180 Breves";2152;389;2541
"150190 Bujaru";366;138;504
"150200 Cachoeira do Arari";292;47;339
"150195 Cachoeira do Piriá";215;122;337
"150210 Cametá";1355;1047;2402
"150215 Canaã dos Carajás";495;885;1380
"150220 Capanema";438;599;1037
"150230 Capitão Poço";252;552;804
"150240 Castanhal";983;2140;3123
"150250 Chaves";307;63;370
"150260 Colares";122;76;198
"150270 Conceição do Araguaia";312;446;758
"150275 Concórdia do Pará";297;202;499
"150276 Cumaru do Norte";98;60;158
"150277 Curionópolis";174;154;328
"150280 Curralinho";513;181;694
"150285 Curuá";177;31;208
"150290 Curuçá";275;252;527
"150293 Dom Eliseu";395;297;692
"150295 Eldorado do Carajás";250;159;409
"150300 Faro";85;36;121
"150304 Floresta do Araguaia";93;234;327
"150307 Garrafão do Norte";177;233;410
"150309 Goianésia do Pará";261;202;463
"150310 Gurupá";538;198;736
"150320 Igarapé-Açu";212;338;550
"150330 Igarapé-Miri";470;583;1053
"150340 Inhangapi";79;83;162
"150345 Ipixuna do Pará";364;231;595
"150350 Irituia";210;225;435
"150360 Itaituba";887;1113;2000
"150370 Itupiranga";450;390;840
"150375 Jacareacanga";515;72;587
"150380 Jacundá";325;469;794
"150390 Juruti";841;299;1140
"150400 Limoeiro do Ajuru";249;206;455
"150405 Mãe do Rio";282;309;591
"150410 Magalhães Barata";46;51;97
"150420 Marabá";2438;2310;4748
"150430 Maracanã";216;166;382
"150440 Marapanim";195;133;328
"150442 Marituba";692;1101;1793
"150445 Medicilândia";229;203;432
"150450 Melgaço";495;42;537
"150460 Mocajuba";360;145;505
"150470 Moju";664;536;1200
"150475 Mojuí dos Campos";151;74;225
"150480 Monte Alegre";809;329;1138
"150490 Muaná";347;257;604
"150495 Nova Esperança do Piriá";265;178;443
"150497 Nova Ipixuna";135;82;217
"150500 Nova Timboteua";71;92;163
"150503 Novo Progresso";222;331;553
"150506 Novo Repartimento";449;762;1211
"150510 Óbidos";857;128;985
"150520 Oeiras do Pará";513;134;647
"150530 Oriximiná";984;411;1395
"150540 Ourém";131;150;281
"150543 Ourilândia do Norte";290;339;629
"150548 Pacajá";396;356;752
"150549 Palestina do Pará";63;26;89
"150550 Paragominas";1032;969;2001
"150553 Parauapebas";1735;2907;4642
"150555 Pau D'Arco";45;75;120
"150560 Peixe-Boi";50;53;103
"150563 Piçarra";68;73;141
"150565 Placas";103;181;284
"150570 Ponta de Pedras";182;170;352
"150580 Portel";1229;230;1459
"150590 Porto de Moz";462;280;742
"150600 Prainha";499;223;722
"150610 Primavera";114;57;171
"150611 Quatipuru";99;65;164
"150613 Redenção";443;1184;1627
"150616 Rio Maria";64;210;274
"150618 Rondon do Pará";425;249;674
"150619 Rurópolis";225;143;368
"150620 Salinópolis";317;337;654
"150630 Salvaterra";233;148;381
"150635 Santa Bárbara do Pará";174;180;354
"150640 Santa Cruz do Arari";67;11;78
"150650 Santa Izabel do Pará";360;635;995
"150655 Santa Luzia do Pará";188;183;371
"150658 Santa Maria das Barreiras";59;83;142
"150660 Santa Maria do Pará";96;270;366
"150670 Santana do Araguaia";368;204;572
"150680 Santarém";4395;2076;6471
"150690 Santarém Novo";64;41;105
"150700 Santo Antônio do Tauá";247;196;443
"150710 São Caetano de Odivelas";147;77;224
"150715 São Domingos do Araguaia";207;131;338
"150720 São Domingos do Capim";310;201;511
"150730 São Félix do Xingu";557;481;1038
"150740 São Francisco do Pará";71;156;227
"150745 São Geraldo do Araguaia";198;263;461
"150746 São João da Ponta";44;37;81
"150747 São João de Pirabas";217;122;339
"150750 São João do Araguaia";146;70;216
"150760 São Miguel do Guamá";445;484;929
"150770 São Sebastião da Boa Vista";383;168;551
"150775 Sapucaia";48;38;86
"150780 Senador José Porfírio";157;100;257
"150790 Soure";203;179;382
"150795 Tailândia";1008;546;1554
"150796 Terra Alta";81;93;174
"150797 Terra Santa";148;125;273
"150800 Tomé-Açu";946;570;1516
"150803 Tracuateua";332;205;537
"150805 Trairão";121;104;225
"150808 Tucumã";286;344;630
"150810 Tucuruí";903;1216;2119
"150812 Ulianópolis";232;261;493
"150815 Uruará";390;346;736
"150820 Vigia";418;335;753
"150830 Viseu";831;315;1146
"150835 Vitória do Xingu";196;200;396
"150840 Xinguara";244;658;902
"150000 Município ignorado - PA";2;-;2
"160010 Amapá";118;15;133
"160020 Calçoene";146;30;176
"160021 Cutias";68;20;88
"160023 Ferreira Gomes";136;44;180
"160025 Itaubal";80;19;99
"160027 Laranjal do Jari";491;291;782
"160030 Macapá";5869;3609;9478
"160040 Mazagão";345;115;460
"160050 Oiapoque";397;162;559
"160015 Pedra Branca do Amapari";201;50;251
"160053 Porto Grande";265;104;369
"160055 Pracuúba";57;9;66
"160060 Santana";1512;740;2252
"160005 Serra do Navio";40;27;67
"160070 Tartarugalzinho";262;48;310
"160080 Vitória do Jari";169;77;246
"170025 Abreulândia";26;10;36
"170030 Aguiarnópolis";44;41;85
"170035 Aliança do Tocantins";26;42;68
"170040 Almas";66;47;113
"170070 Alvorada";47;51;98
"170100 Ananás";87;69;156
"170105 Angico";25;23;48
