"Idades
Exatas
(X)";"Probabilidades de Morte
entre Duas Idades Exatas
Q (X, N) (Por Mil)";"Óbitos
D (X, N)";"l ( X )";"L (X, N)";"T(X)";"Expectativa de Vida
à Idade X
E(X)";"ano"
"0";"24.890523790897";"2489.0523790897";"1e+05";"97821.2616922404";"7228447.7319494";"72.284477319494";2006
"1";"2.29205033335224";"223.5";"97510.9476209103";"97362.8222079578";"7130626.47025716";"73.1264195890972";2006
"2";"1.25495428183312";"122";"97214.6967950053";"97157.1623398717";"7033263.6480492";"72.3477404129554";2006
"3";"0.921733707427187";"89.5";"97099.6278847382";"97069.0403707958";"6936106.48570933";"71.4328843148896";2006
"4";"0.699397580282063";"67.8684591223984";"97038.4528568534";"97019.4730603725";"6839037.44533854";"70.4776018577621";2006
"5";"0.479327974895028";"46.49505";"97000.4932638916";"96977.2457388916";"6742017.97227816";"69.5049864740005";2006
"6";"0.385499831760881";"37.37575";"96953.9982138916";"96935.3103388916";"6645040.72653927";"68.5380783562897";2006
"7";"0.313937890389606";"30.4258";"96916.6224638916";"96901.4095638916";"6548105.41620038";"67.5643171390957";2006
"8";"0.281258331303202";"27.25005";"96886.1966638916";"96872.5716388916";"6451204.00663649";"66.5853777810723";2006
"9";"0.273112096763254";"26.45335";"96858.9466138916";"96845.7199388916";"6354331.4349976";"65.6039700733877";2006
"10";"0.275207206814092";"26.649";"96832.4932638916";"96819.1687638916";"6257485.71505871";"64.6217556126079";2006
"11";"0.283473071369471";"27.44185";"96805.8442638916";"96792.1233388916";"6160666.54629481";"63.6394072397211";2006
"12";"0.31423746663992";"30.4114";"96778.4024138916";"96763.1967138916";"6063874.42295592";"62.6573106365467";2006
"13";"0.429930374409817";"41.5949";"96747.9910138916";"96727.1935638916";"5967111.22624203";"61.6768489320387";2006
"14";"0.557386606947056";"53.90285";"96706.3961138916";"96679.4446888916";"5870384.03267814";"60.7031620304055";2006
"15";"0.780700501889586";"75.45665";"96652.4932638916";"96614.7649388916";"5773704.58798925";"59.7367371809564";2006
"16";"0.962806514469353";"92.985";"96577.0366138916";"96530.5441138916";"5677089.82305036";"58.7830194640055";2006
"17";"1.13284525444061";"109.3015";"96484.0516138916";"96429.4008638916";"5580559.27893647";"57.8391888150454";2006
"18";"1.27843651842829";"123.209";"96374.7501138916";"96313.1456138916";"5484129.87807257";"56.9042189120248";2006
"19";"1.40307208006365";"135.04785";"96251.5411138916";"96184.0171888916";"5387816.73245868";"55.976420430333";2006
"20";"1.53028939160493";"147.08605";"96116.4932638916";"96042.9502388916";"5291632.71526979";"55.0543672118937";2006
"21";"1.65733023280545";"159.053";"95969.4072138916";"95889.8807138916";"5195589.7650309";"54.1379791317377";2006
"22";"1.75579666081236";"168.2235";"95810.3542138916";"95726.2424638916";"5099699.88431701";"53.2270225505293";2006
"23";"1.81741036824008";"173.821";"95642.1307138916";"95555.2202138916";"5003973.64185312";"52.3197633145819";2006
"24";"1.85209574286902";"176.81645";"95468.3097138916";"95379.9014888916";"4908418.42163922";"51.4141125610083";2006
"25";"1.87678400111469";"178.84155";"95291.4932638916";"95202.0724888916";"4813038.52015033";"50.5085853447751";2006
"26";"1.90682308538256";"181.363";"95112.6517138916";"95021.9702138916";"4717836.44766144";"49.6026171350281";2006
"27";"1.94503311291275";"184.6445";"94931.2887138916";"94838.9664638916";"4622814.47744755";"48.6964260158735";2006
"28";"1.99849822197964";"189.351";"94746.6442138916";"94651.9687138916";"4527975.51098366";"47.7903523502289";2006
"29";"2.06541392379142";"195.29995";"94557.2932138916";"94459.6432388916";"4433323.54226976";"46.8850512909823";2006
"30";"2.1386603124801";"201.80825";"94361.9932638916";"94261.0891388916";"4338863.89903087";"45.9810539069142";2006
"31";"2.21927134031407";"208.967";"94160.1850138916";"94055.7015138916";"4244602.80989198";"45.0785309020556";2006
"32";"2.30462685399124";"216.5225";"93951.2180138916";"93842.9567638916";"4150547.10837809";"44.177682803052";2006
"33";"2.40039185881448";"225";"93734.6955138916";"93622.1955138916";"4056704.1516142";"43.2785760851273";2006
"34";"2.49172022985987";"233";"93509.6955138916";"93393.1955138916";"3963081.95610031";"42.3815085090461";2006
"35";"2.61587311445506";"244";"93276.6955138916";"93154.6955138916";"3869688.76058641";"41.4861261890448";2006
"36";"2.75172076425297";"256";"93032.6955138916";"92904.6955138916";"3776534.06507252";"40.5936218897217";2006
"37";"2.89943501986145";"269";"92776.6955138916";"92642.1955138916";"3683629.36955863";"39.7042527668716";2006
"38";"3.08082477265043";"285";"92507.6955138916";"92365.1955138916";"3590987.17404474";"38.8182534879543";2006
"39";"3.27468198925621";"302";"92222.6955138916";"92071.6955138916";"3498621.97853085";"37.9366701334798";2006
"40";"3.48126173557553";"320";"91920.6955138916";"91760.6955138916";"3406550.28301696";"37.0596660955654";2006
"41";"3.72953500061788";"341.628";"91600.6955138916";"91429.8815138916";"3314789.58750307";"36.1873844833456";2006
"42";"3.98629977174185";"363.786";"91259.0675138916";"91077.1745138916";"3223359.70598917";"35.320980082319";2006
"43";"4.26759226154898";"387.904";"90895.2815138916";"90701.3295138916";"3132282.53147528";"34.4603424875974";2006
"44";"4.57254879511319";"413.8494";"90507.3775138916";"90300.4528138916";"3041581.20196139";"33.6058925306343";2006
"45";"4.90706002146044";"442.09435";"90093.5281138916";"89872.4809388916";"2951280.7491475";"32.757966203928";2006
"46";"5.26375296175203";"471.903";"89651.4337638916";"89415.4822638916";"2861408.26820861";"31.9170385578494";2006
"47";"5.62887577115678";"501.9805";"89179.5307638916";"88928.5405138916";"2771992.78594472";"31.083285168698";2006
"48";"5.99699696729829";"531.799";"88677.5502638916";"88411.6507638916";"2683064.24543082";"30.2564091751115";2006
"49";"6.37833522249769";"562.22315";"88145.7512638916";"87864.6396888916";"2594652.59466693";"29.4359348858351";2006
"50";"6.78143839133371";"593.9423";"87583.5281138916";"87286.5569638916";"2506787.95497804";"28.6216827405979";2006
"51";"7.22801464241012";"628.762";"86989.5858138916";"86675.2048138916";"2419501.39801415";"27.8136902869099";2006
"52";"7.73796462896302";"668.257";"86360.8238138916";"86026.6953138916";"2332826.19320026";"27.0125514113613";2006
"53";"8.32615974206454";"713.49";"85692.5668138916";"85335.8218138916";"2246799.49788637";"26.2193044440599";2006
"54";"8.98513762007805";"763.5487";"84979.0768138916";"84597.3024638916";"2161463.67607247";"25.4352454405475";2006
"55";"9.70066528461563";"816.94665";"84215.5281138916";"83807.0547888916";"2076866.37360858";"24.6613233939454";2006
"56";"10.4567366098136";"872.077";"83398.5814638916";"82962.5429638916";"1993059.31881969";"23.898000227769";2006
"57";"11.2510944942089";"928.5135";"82526.5044638916";"82062.2477138916";"1910096.7758558";"23.1452524042326";2006
"58";"12.07849590851";"985.581";"81597.9909638916";"81105.2004638916";"1828034.52814191";"22.4029354956894";2006
"59";"12.9493939018519";"1043.88185";"80612.4099638916";"80090.4690388916";"1746929.32767802";"21.6707245008617";2006
"60";"13.8866964890745";"1104.944";"79568.5281138916";"79016.0561138916";"1666838.85863913";"20.9484691768242";2006
"61";"14.9035761392522";"1169.388";"78463.5841138916";"77878.8901138916";"1587822.80252523";"20.2364296820863";2006
"62";"15.9972683871121";"1236.496";"77294.1961138916";"76675.9481138916";"1509943.91241134";"19.5350231754331";2006
"63";"17.1760123964279";"1306.368";"76057.7001138916";"75404.5161138916";"1433267.96429745";"18.8444820465413";2006
"64";"18.4518985949104";"1379.304";"74751.3321138916";"74061.6801138916";"1357863.44818356";"18.1650735817619";2006
"65";"19.8047823857942";"1453.11705";"73372.0281138916";"72645.4695888916";"1283801.76806967";"17.4971552657218";2006
"66";"21.2761424966604";"1530.157";"71918.9110638916";"71153.8325638916";"1211156.29848078";"16.8405817129907";2006
"67";"22.948175763046";"1615.2935";"70388.7540638916";"69581.1073138916";"1140002.46591688";"16.1958040183821";2006
"68";"24.870131384635";"1710.405";"68773.4605638916";"67918.2580638916";"1070421.35860299";"15.5644539307217";2006
"69";"27.0272124459523";"1812.52745";"67063.0555638916";"66156.7918388916";"1002503.1005391";"14.9486642400898";2006
"70";"29.3591200227865";"1915.69808644595";"65250.5281138916";"64292.6790706686";"936346.30870021";"14.3500188544967";2006
