"";"local";"Tx de Cobertura Bruta - Creche";"Tx de Cobertura Efetiva - Creche";"Tx de Cobertura - Pré-escola";"Tx de Cobertura efetiva  - Pré-escola";"Creches e Pre-escolas / 1.000 crianças de 0 a 6";"Creches e Pré-escolas públicas (% do total)";"Nº de alunos por turma";"Ano"
"1";"Afonso Cláudio - ES";"0.331666666666667";"0.317222222222222";"0.699339207048458";"0.638766519823789";"5.74529205234599";"1";"8.86330935251799";"2012"
"2";"Águia Branca - ES";"0.166975881261596";"0.228200371057514";"1.44607843137255";"1.22549019607843";"8.16802800466744";"1";"14.3846153846154";"2012"
"3";"Água Doce do Norte - ES";"0.110283159463487";"0.107302533532042";"1.1258064516129";"1.01935483870968";"7.85340314136126";"1";"19.2272727272727";"2012"
"4";"Alegre - ES";"0.457101658255227";"0.442682047584715";"0.952054794520548";"0.867123287671233";"14.7822612864563";"0.945945945945946";"15.1686746987952";"2012"
"5";"Alfredo Chaves - ES";"0.286401925391095";"0.296028880866426";"1.26865671641791";"1.1044776119403";"9.84413453650533";"1";"11.2790697674419";"2012"
"6";"Alto Rio Novo - ES";"0.437665782493369";"0.40053050397878";"0.861904761904762";"0.785714285714286";"14.265335235378";"1";"14.8260869565217";"2012"
"7";"Anchieta - ES";"0.608016304347826";"0.569972826086957";"1.14564564564565";"1.06156156156156";"14.0958517921869";"0.885714285714286";"11.2142857142857";"2012"
"8";"Apiacá - ES";"0.187793427230047";"0.2018779342723";"0.904761904761905";"0.867724867724868";"10.0430416068867";"1";"13.2105263157895";"2012"
"9";"Aracruz - ES";"0.275527284901239";"0.378808168731168";"1.34632034632035";"1.01298701298701";"3.66748166259169";"0.888888888888889";"16.0489795918367";"2012"
"10";"Atílio Vivacqua - ES";"0.454887218045113";"0.421052631578947";"1.06172839506173";"0.991769547325103";"10.1925254813137";"1";"13.030303030303";"2012"
"11";"Baixo Guandu - ES";"0.358573216520651";"0.337922403003755";"0.896593673965937";"0.804136253041362";"9.97506234413965";"0.892857142857143";"13.3917525773196";"2012"
"12";"Barra de São Francisco - ES";"0.154287901990812";"0.144333843797856";"0.714070729872084";"0.64484574868322";"5.24704853519895";"0.916666666666667";"19.8823529411765";"2012"
"13";"Boa Esperança - ES";"0.250965250965251";"0.271557271557272";"1.16279069767442";"0.953488372093023";"5.93912397921307";"1";"15.3571428571429";"2012"
"14";"Bom Jesus do Norte - ES";"0.494600431965443";"0.47732181425486";"1.3728813559322";"1.22033898305085";"9.64187327823691";"0.857142857142857";"14.625";"2012"
"15";"Brejetuba - ES";"0.209840810419682";"0.193921852387844";"1.07769423558897";"0.982456140350877";"8.48765432098766";"1";"13.3720930232558";"2012"
"16";"Cachoeiro de Itapemirim - ES";"0.436390949206647";"0.416486714862454";"0.907914478619655";"0.809827456864216";"3.67549139721941";"0.869565217391304";"17.7965779467681";"2012"
"17";"Cariacica - ES";"0.16189701161897";"0.151860391518604";"0.798397040690506";"0.71402149022371";"2.34180115053709";"0.489130434782609";"17.3649025069638";"2012"
"18";"Castelo - ES";"0.441018766756032";"0.414209115281501";"0.997581620314389";"0.898428053204353";"8.37277029486713";"0.91304347826087";"16.6179775280899";"2012"
"19";"Colatina - ES";"0.433190057933097";"0.398803961876285";"0.96683861459101";"0.860353721444363";"8.48716316571186";"0.9";"19.491935483871";"2012"
"20";"Conceição da Barra - ES";"0.348336594911937";"0.307240704500978";"0.941351888667992";"0.862823061630219";"5.42082738944365";"1";"18";"2012"
"21";"Conceição do Castelo - ES";"0.347176079734219";"0.323920265780731";"1.04290429042904";"0.920792079207921";"9.53288846520496";"1";"12.5";"2012"
"22";"Divino de São Lourenço - ES";"0";"0";"0.632258064516129";"0.6";"4.59770114942529";"1";"14";"2012"
"23";"Domingos Martins - ES";"0.273458445040214";"0.2828418230563";"0.847176079734219";"0.738648947951274";"12.4245651402201";"0.971428571428571";"14.3048780487805";"2012"
"24";"Dores do Rio Preto - ES";"0";"0";"1.00653594771242";"0.986928104575163";"8.92857142857143";"1";"17.1111111111111";"2012"
"25";"Ecoporanga - ES";"0.546453546453546";"0.508491508491508";"0.763768115942029";"0.698550724637681";"8.42835894893406";"0.941176470588235";"17.2708333333333";"2012"
"26";"Fundão - ES";"0.266423357664234";"0.22992700729927";"0.982456140350877";"0.896929824561403";"3.92156862745098";"1";"14.2307692307692";"2012"
"27";"Governador Lindenberg - ES";"0.315417256011315";"0.284299858557284";"1.04832713754647";"0.973977695167286";"7.20720720720721";"1";"8.85964912280702";"2012"
"28";"Guaçuí - ES";"0.260669730794485";"0.241628365068943";"0.822878228782288";"0.745387453874539";"5.53097345132743";"0.8";"15.0140845070423";"2012"
"29";"Guarapari - ES";"0.285714285714286";"0.258583690987124";"0.930232558139535";"0.840916750926862";"3.91799544419134";"0.720930232558139";"15.9448275862069";"2012"
"30";"Ibatiba - ES";"0.154228855721393";"0.149253731343284";"0.870503597122302";"0.784172661870504";"5.28240552620886";"0.846153846153846";"19.1162790697674";"2012"
"31";"Ibiraçu - ES";"0.375420875420875";"0.343434343434343";"1.00354609929078";"0.890070921985816";"7.92864222001982";"0.875";"13.6756756756757";"2012"
"32";"Ibitirama - ES";"0.302186878727634";"0.272365805168986";"0.677142857142857";"0.602857142857143";"8.97308075772682";"1";"14.2083333333333";"2012"
"33";"Iconha - ES";"0.475975975975976";"0.43993993993994";"1.00373134328358";"0.902985074626866";"9.40733772342427";"1";"9.60655737704918";"2012"
"34";"Irupi - ES";"0.287323943661972";"0.277464788732394";"0.854304635761589";"0.774834437086093";"5.26315789473684";"1";"17.7692307692308";"2012"
