"";"codigomun";"municipio";"codatasus"
"1";1100015;"Alta Floresta D'Oeste - RO";110001
"2";1100023;"Ariquemes - RO";110002
"3";1100031;"Cabixi - RO";110003
"4";1100049;"Cacoal - RO";110004
"5";1100056;"Cerejeiras - RO";110005
"6";1100064;"Colorado do Oeste - RO";110006
"7";1100072;"Corumbiara - RO";110007
"8";1100080;"Costa Marques - RO";110008
"9";1100098;"Espigão D'Oeste - RO";110009
"10";1100106;"Guajará-Mirim - RO";110010
"11";1100114;"Jaru - RO";110011
"12";1100122;"Ji-Paraná - RO";110012
"13";1100130;"Machadinho D'Oeste - RO";110013
"14";1100148;"Nova Brasilândia D'Oeste - RO";110014
"15";1100155;"Ouro Preto do Oeste - RO";110015
"16";1100189;"Pimenta Bueno - RO";110018
"17";1100205;"Porto Velho - RO";110020
"18";1100254;"Presidente Médici - RO";110025
"19";1100262;"Rio Crespo - RO";110026
"20";1100288;"Rolim de Moura - RO";110028
"21";1100296;"Santa Luzia D'Oeste - RO";110029
"22";1100304;"Vilhena - RO";110030
"23";1100320;"São Miguel do Guaporé - RO";110032
"24";1100338;"Nova Mamoré - RO";110033
"25";1100346;"Alvorada D'Oeste - RO";110034
"26";1100379;"Alto Alegre dos Parecis - RO";110037
"27";1100403;"Alto Paraíso - RO";110040
"28";1100452;"Buritis - RO";110045
"29";1100502;"Novo Horizonte do Oeste - RO";110050
"30";1100601;"Cacaulândia - RO";110060
"31";1100700;"Campo Novo de Rondônia - RO";110070
"32";1100809;"Candeias do Jamari - RO";110080
"33";1100908;"Castanheiras - RO";110090
"34";1100924;"Chupinguaia - RO";110092
"35";1100940;"Cujubim - RO";110094
"36";1101005;"Governador Jorge Teixeira - RO";110100
"37";1101104;"Itapuã do Oeste - RO";110110
"38";1101203;"Ministro Andreazza - RO";110120
"39";1101302;"Mirante da Serra - RO";110130
"40";1101401;"Monte Negro - RO";110140
"41";1101435;"Nova União - RO";110143
"42";1101450;"Parecis - RO";110145
"43";1101468;"Pimenteiras do Oeste - RO";110146
"44";1101476;"Primavera de Rondônia - RO";110147
"45";1101484;"São Felipe D'Oeste - RO";110148
"46";1101492;"São Francisco do Guaporé - RO";110149
"47";1101500;"Seringueiras - RO";110150
"48";1101559;"Teixeirópolis - RO";110155
"49";1101609;"Theobroma - RO";110160
"50";1101708;"Urupá - RO";110170
"51";1101757;"Vale do Anari - RO";110175
"52";1101807;"Vale do Paraíso - RO";110180
"53";1200013;"Acrelândia - AC";120001
"54";1200054;"Assis Brasil - AC";120005
"55";1200104;"Brasiléia - AC";120010
"56";1200138;"Bujari - AC";120013
"57";1200179;"Capixaba - AC";120017
"58";1200203;"Cruzeiro do Sul - AC";120020
"59";1200252;"Epitaciolândia - AC";120025
"60";1200302;"Feijó - AC";120030
"61";1200328;"Jordão - AC";120032
